step,eta,mse,coherence,S,r_norm
0,0.9652563767501551,3.877231874470888e-06,0.021669118442337425,3.2897496852861012,0.007683485392919863
1,0.0008114601904143024,3.2014094031521897e-06,0.021669118442337425,3.2898932242066157,0.007684826036086663
2,6.188285183044753e-05,5.237882646864157e-06,0.021669118442337425,3.2897732254484637,0.0076844223911215915
3,0.0017088583131034175,2.06844627847569e-06,0.021669118442337425,3.2897826010695517,0.007683491113125835
4,0.00010450340250908181,8.73257613707367e-06,0.021669118442337425,3.2897802479724936,0.007683485753242379
5,3.3880785150826898e-09,9.33453603252212e-06,0.021669118442337425,3.2898931966312683,0.0076843155311797345
6,1.1589245826748645e-06,3.106621625256229e-06,0.021669118442337425,3.2898929024941266,0.007683485398549903
7,3.1677753669306196e-06,8.913831416158646e-06,0.021669118442337425,3.289893196631259,0.007683485398549898
8,0.00012221439730194597,3.5057699428787365e-06,0.021669118442337425,3.2898908803013427,0.007683485742070272
9,0.989709480583204,1.0236507021902277e-05,0.021669118442337425,3.289893003603766,0.007683485686303187
10,0.9793787004907581,5.798541552241848e-06,0.021669118442337425,3.2898932242066143,0.007683485396086779
11,5.291378490290411e-06,7.0654750439001815e-06,0.021669118442337425,3.2897449790919966,0.007684915379964849
12,0.005658146355519041,9.227175464562312e-06,0.021669118442337425,3.2898926451241346,0.007684904231040266
13,0.008201187229324279,4.6021695838077815e-06,0.021669118442337425,3.2898921211923695,0.007683485410783143
14,0.0018412847788596186,5.123713885172584e-06,0.021669118442337425,3.289893196631258,0.007683485468183155
15,0.008294494013398565,2.0250177905378994e-06,0.021669118442337425,3.289766156965505,0.007684535565659622
16,0.000594081832261397,1.2195772106790629e-05,0.021669118442337425,3.289770872351407,0.00768348683984538
17,0.020250287555272705,5.238860242238049e-06,0.021669118442337425,3.2897589597975516,0.007683494627586604
18,0.18340365570662,3.990353780164304e-06,0.021669118442337425,3.289744979091986,0.007683498112405639
19,0.9947282876842279,1.3286930335000477e-05,0.02166911844233742,3.289747341380834,0.007683485756062942
20,0.3199593322064472,5.044331795694138e-06,0.021669118442337425,3.2898926451241355,0.007684859202420712
21,0.965860987908379,4.448766958898094e-06,0.021669118442337425,3.289744979091986,0.007684904231040464
22,0.002272236119846758,2.8184665366071417e-06,0.021669118442337425,3.289747332189044,0.007683485753242379
23,2.132240762573518e-05,4.860631945267607e-06,0.021669118442337425,3.2898929024941266,0.007684864247137661
24,3.352593606367681e-05,3.6672155245250653e-06,0.021669118442337425,3.2898932242066152,0.007683485399655017
25,3.3053870585182054e-06,6.16622861694244e-06,0.021669118442337425,3.289766129390148,0.007684536477601343
26,2.609763137971704e-07,1.1472319424683669e-05,0.021669118442337425,3.2898930863298346,0.007684534198489026
27,7.157875895310932e-06,2.762831389382289e-06,0.021669118442337425,3.2897614231960333,0.0076846133906667835
28,2.626976698422603e-06,4.045587478758702e-06,0.021669118442337425,3.289892645124136,0.007684605843999277
