t,S,R,gain,norm
62,0.9884090092378176,0.01159099076218245,0.0,15.999185764349399
63,0.9871458093538605,0.012854190646139416,0.0,16.022954277831783
64,0.9868943269122605,0.013105673087739463,0.0,16.047230154909602
65,0.986247292575819,0.013752707424181016,0.0,16.042248989143047
66,0.9857067042846906,0.014293295715309367,0.0,16.08499100740625
67,0.9836802215281368,0.016319778471863115,0.0,16.064765689591194
68,0.9866507311745962,0.013349268825403788,0.0,16.094521811149225
69,0.9853035514175263,0.014696448582473655,0.0,16.15830794509774
70,0.9815580488502391,0.018441951149760855,0.0,16.21156018946031
71,0.9822579404340454,0.017742059565954607,0.0,16.23343231957882
72,0.981293420492943,0.018706579507056963,0.0,16.26617387168528
73,0.9794506685221008,0.02054933147789919,0.0,16.27166634389014
74,0.9806927379999292,0.01930726200007086,0.0,16.292552888304435
75,0.9819990649723318,0.018000935027668148,0.0,16.323278589078388
76,0.9821002931166766,0.017899706883323457,0.0,16.33717397822475
77,0.9834284476843981,0.016571552315601944,0.0,16.35340331834016
78,0.9833554363445525,0.01664456365544749,0.0,16.372140636476445
79,0.9812075071943098,0.018792492805690147,0.0,16.382065200343106
80,0.9811651380954797,0.01883486190452029,0.0,16.39310206907039
81,0.9829004315300637,0.017099568469936273,0.0,16.422167642756445
82,0.9823467215167567,0.01765327848324331,0.0,16.478582547245466
83,0.9849695884343517,0.015030411565648312,0.0,16.548517936862176
84,0.9844266855247039,0.015573314475296049,0.0,16.58809653928543
85,0.9820418435910929,0.017958156408907085,0.0,16.593782101506637
86,0.9798283246194215,0.020171675380578482,0.0,16.641707332262197
87,0.9802503081923191,0.01974969180768098,0.0,16.654074156361823
88,0.980796950974127,0.01920304902587301,0.0,16.666521304925293
89,0.9802197055779638,0.019780294422036188,0.0,16.63492984503081
90,0.9828686357479053,0.017131364252094734,0.0,16.67806013771165
91,0.9863718770155248,0.013628122984475258,0.0,16.71880860351861
92,0.9871311812250949,0.012868818774905038,0.0,16.723557944863852
93,0.9854487367541627,0.01455126324583738,0.0,16.738345140604775
94,0.9839630841225091,0.016036915877490853,0.0,16.783806369293355
95,0.9850647863368995,0.014935213663100503,0.0,16.780498337725284
96,0.9863628436909185,0.01363715630908145,0.0,16.82827492952148
97,0.9830232066765225,0.016976793323477485,0.0,16.829593066836676
98,0.9852969977878802,0.014703002212119877,0.0,16.812280962495226
99,0.9841364983422254,0.015863501657774625,0.0,16.801513791607384
100,0.9848109142678926,0.01518908573210746,0.0,16.81801218549268
101,0.9817221219868973,0.01827787801310265,0.0,16.8259818597327
102,0.9822747595467536,0.017725240453246405,0.0,16.813711789624808
103,0.983234482297302,0.01676551770269798,0.0,16.79650882548393
104,0.9828911588511715,0.017108841148828484,0.0,16.8197506531953
105,0.9835825245093812,0.016417475490618734,0.0,16.856306609293398
106,0.9835971303586063,0.016402869641393675,0.0,16.881749531793997
107,0.9824524408558235,0.017547559144176515,0.0,16.93283234820554
108,0.9788597711054251,0.021140228894574876,0.0,16.920050027849626
109,0.9782668356000528,0.021733164399947255,0.0,16.92849714501184
110,0.9771543023635113,0.022845697636488693,0.0,16.944999893354847
111,0.9765463513109042,0.02345364868909582,0.0,16.95749731578172
112,0.9748875771072151,0.025112422892784956,0.0,16.938878144537608
113,0.9736984809033439,0.026301519096656092,0.0,16.948775688274377
114,0.973887389991858,0.02611261000814202,0.0,16.987441024557036
115,0.9728613593590935,0.027138640640906517,0.0,16.976191641065483
116,0.9707260420228998,0.029273957977100213,0.0,16.99471725766111
117,0.9693663476694847,0.03063365233051535,0.0,17.038567609835685
118,0.9704676531904366,0.0295323468095634,0.0,17.03547480804216
119,0.973543295315248,0.02645670468475206,0.0,17.051734157393494
120,0.9742059687917999,0.025794031208200154,0.0,17.082096872021154
121,0.971818111914136,0.02818188808586394,0.0,17.110748529946783
122,0.9721558329236358,0.02784416707636422,0.0,17.100691548409078
123,0.9754681009611917,0.024531899038808237,0.0,17.128872903878705
124,0.9735437391210617,0.02645626087893832,0.0,17.144803871498844
125,0.9753070064081794,0.02469299359182066,0.0,17.138008814060083
126,0.9731514181930371,0.02684858180696296,0.0,17.124674597635984
127,0.9747957117906347,0.025204288209365315,0.0,17.16020810031599
128,0.974893990755733,0.02510600924426695,0.0,17.153639292022522
129,0.9731871160963466,0.02681288390365344,0.0,17.234833329484164
130,0.9745112414796686,0.025488758520331414,0.0,17.242360320158227
131,0.978609803203803,0.021390196796197,0.0,17.273857735532534
132,0.9794712260561727,0.020528773943827367,0.0,17.3160665411302
133,0.9763178913669313,0.02368210863306876,0.0,17.33466355645334
134,0.9731403748968601,0.026859625103139922,0.0,17.327277407460326
135,0.9756774472271738,0.02432255277282621,0.0,17.3488988664656
136,0.9749557126850021,0.025044287314997884,0.0,17.38219960035138
137,0.9723523542139301,0.027647645786069878,0.0,17.397293763546344
138,0.9695931440459816,0.03040685595401841,0.0,17.402296117924113
139,0.967939883108611,0.03206011689138896,0.0,17.44955794204893
140,0.9689023785743557,0.031097621425644352,0.0,17.435554109835515
141,0.9708478951137413,0.029152104886258773,0.0,17.467775780640054
142,0.9728465062639313,0.027153493736068714,0.0,17.461070164462683
143,0.9747829651988863,0.025217034801113748,0.0,17.455388266999687
144,0.9741116403136254,0.025888359686374627,0.0,17.45854077365957
145,0.9738191737159667,0.026180826284033242,0.0,17.4937385101434
146,0.9751245572571066,0.02487544274289342,0.0,17.5049001696246
147,0.9707051967251459,0.029294803274854134,0.0,17.52859859870326
148,0.969127624882679,0.030872375117321035,0.0,17.494687933992864
149,0.9673360380468586,0.03266396195314138,0.0,17.461455937399123
150,0.9687942186386783,0.031205781361321648,0.0,17.472643743706943
151,0.9701778391997653,0.029822160800234733,0.0,17.498811214781664
152,0.9700969078174853,0.02990309218251477,0.0,17.572688244721533
153,0.9693078659394334,0.030692134060566544,0.0,17.58599236281439
154,0.9702013941405312,0.029798605859468752,0.0,17.550229345885874
155,0.9718021409889563,0.028197859011043703,0.0,17.569461649819157
156,0.9723297836695154,0.027670216330484623,0.0,17.570793186514894
157,0.9713668288735332,0.028633171126466794,0.0,17.56084004844097
158,0.9738921380956976,0.026107861904302355,0.0,17.49640989686187
159,0.9718617843284404,0.02813821567155961,0.0,17.516204355182705
160,0.9710922013548845,0.028907798645115453,0.0,17.511814432008673
161,0.9695523291768602,0.030447670823139802,0.0,17.561942148398007
162,0.9711445529348388,0.02885544706516123,0.0,17.597221311060082
163,0.9719337376587698,0.028066262341230185,0.0,17.6598380814555
164,0.9703748607697938,0.02962513923020615,0.0,17.652338720025746
165,0.9684900658254478,0.03150993417455211,0.0,17.638992330156526
166,0.9708015914826635,0.029198408517336447,0.0,17.67670342412655
167,0.9697130158781117,0.03028698412188832,0.0,17.679558853003787
168,0.9701000988268176,0.02989990117318241,0.0,17.70865746304376
169,0.9721512210280687,0.02784877897193132,0.0,17.662801572233484
170,0.9734170309535972,0.02658296904640282,0.0,17.66260172006
171,0.9727053439409815,0.02729465605901844,0.0,17.6752081469421
172,0.9719535105088831,0.02804648949111684,0.0,17.727810893107907
173,0.9722552429912605,0.027744757008739438,0.0,17.703749272048565
174,0.9731287365239479,0.026871263476052044,0.0,17.70097690776745
175,0.9716428730461177,0.028357126953882258,0.0,17.676731087911083
176,0.9712139551841497,0.028786044815850308,0.0,17.70382556342164
177,0.9697846825278564,0.03021531747214351,0.0,17.73327381977361
178,0.9728516155811182,0.027148384418881823,0.0,17.729232226356306
179,0.9714250564600394,0.02857494353996061,0.0,17.714024395343547
180,0.9715004939736606,0.028499506026339456,0.0,17.77244555434256
181,0.9701013028145204,0.029898697185479585,0.0,17.758748489321288
182,0.9702950622156591,0.029704937784340957,0.0,17.78800188795142
183,0.9688399453110231,0.031160054688976816,0.0,17.80685816153211
184,0.9706530996149724,0.029346900385027578,0.0,17.76028807142795
185,0.9694459754612981,0.030554024538701954,0.0,17.754913103533266
186,0.9689505794827291,0.03104942051727089,0.0,17.812529842952696
187,0.9669179753983208,0.033082024601679146,0.0,17.790864911749274
188,0.9646285364563952,0.03537146354360475,0.0,17.742802318578665
189,0.9645732783422931,0.0354267216577069,0.0,17.744951135330982
190,0.9614603155991703,0.03853968440082971,0.0,17.739215957570433
191,0.962651050831225,0.037348949168774986,0.0,17.74554378827249
192,0.9625827640353097,0.03741723596469032,0.0,17.743960168938234
193,0.965582491244965,0.03441750875503497,0.0,17.740657186079073
194,0.9660270382963376,0.03397296170366242,0.0,17.69750770071333
195,0.9650946743747741,0.034905325625225886,0.0,17.678374168770315
196,0.9665316482840443,0.03346835171595571,0.0,17.673978353357953
197,0.9653489299682109,0.03465107003178916,0.0,17.680690771019126
198,0.9667417637476086,0.03325823625239147,0.0,17.74490936552945
199,0.9651006166432117,0.034899383356788306,0.0,17.71741503846759
200,0.9663642415591069,0.033635758440893004,0.0,17.690094854640765
201,0.9650056088372734,0.03499439116272668,0.0,17.688745584363666
202,0.9645850636031619,0.03541493639683815,0.0,17.714764332246506
203,0.9649121608551143,0.0350878391448857,0.0,17.709876282334807
204,0.9648078529256943,0.03519214707430579,0.0,17.726227006446376
205,0.9660739162807713,0.033926083719228645,0.0,17.75673698698059
206,0.965428840211594,0.034571159788405956,0.0,17.76050305387352
207,0.963996226647109,0.036003773352891,0.0,17.779307241309823
208,0.9632940174346417,0.03670598256535827,0.0,17.763718754010547
209,0.9651122048433628,0.034887795156637195,0.0,17.79685366683449
210,0.9683681436332255,0.031631856366774465,0.0,17.746984884284736
211,0.9663089594650467,0.033691040534953295,0.0,17.785734876123687
212,0.9699722120764972,0.030027787923502778,0.0,17.78764558859834
213,0.9706462862132149,0.029353713786785102,0.0,17.80395588583805
214,0.97052915588836,0.02947084411164003,0.0,17.841262112033014
215,0.9694212167129146,0.03057878328708537,0.0,17.84311288778026
216,0.9739030319485196,0.026096968051480422,0.0,17.839807964547248
217,0.9749056833473438,0.025094316652656167,0.0,17.86272238026683
218,0.9738468829604808,0.026153117039519176,0.0,17.93638774689574
219,0.972363666764965,0.02763633323503503,0.0,17.929727229823897
220,0.9703942194001333,0.029605780599866786,0.0,17.892371340783328
221,0.9712378449169182,0.028762155083081727,0.0,17.899347813901734
222,0.973684122267735,0.026315877732265014,0.0,17.908188698312657
223,0.9780543462216604,0.021945653778339572,0.0,17.95091964397747
224,0.9783778144018528,0.02162218559814724,0.0,17.962907678030643
225,0.9782255154189401,0.021774484581059857,0.0,17.953467674546538
226,0.9773031055159167,0.02269689448408335,0.0,18.02236597653296
227,0.9783185415119505,0.021681458488049477,0.0,17.993073136063686
228,0.9774742886005934,0.02252571139940664,0.0,17.995312555977133
229,0.9761570841794973,0.02384291582050273,0.0,17.978148512418336
230,0.9748633488493417,0.02513665115065829,0.0,17.941879272917237
231,0.9742129856594234,0.025787014340576585,0.0,17.97027470052471
232,0.9703873818644579,0.029612618135542036,0.0,17.920330907951573
233,0.9691220722137317,0.03087792778626834,0.0,17.97082820729446
234,0.968805191501544,0.03119480849845602,0.0,17.92638197305312
235,0.9696655725790811,0.030334427420918828,0.0,17.92583596382138
236,0.9703033546777545,0.029696645322245512,0.0,17.908774150627657
237,0.970491006646235,0.029508993353765046,0.0,17.894662415263824
238,0.9701247099287782,0.02987529007122175,0.0,17.91286409465526
239,0.9686849300694496,0.031315069930550485,0.0,17.913282012603013
240,0.9676442580425506,0.03235574195744938,0.0,17.912265843533934
241,0.9676434174405028,0.032356582559497256,0.0,17.943309073216728
242,0.9679808449638623,0.032019155036137704,0.0,17.965361950592204
243,0.9691876480958348,0.030812351904165237,0.0,17.990367329744252
244,0.9686541596140368,0.031345840385963226,0.0,18.017857705837017
245,0.968510948857026,0.03148905114297392,0.0,18.01333327997798
246,0.9698796527816094,0.030120347218390662,0.0,17.989495150359247
247,0.9697872023828692,0.030212797617130815,0.0,18.01404466500321
248,0.9651465156850779,0.034853484314922106,0.0,18.060946206417924
249,0.9649890151231545,0.03501098487684552,0.0,18.036176825245732
250,0.9650321157988361,0.03496788420116389,0.0,18.03352445107565
251,0.9649805805726973,0.035019419427302675,0.0,18.04237659747589
252,0.9669870967341659,0.03301290326583407,0.0,18.08857773944394
253,0.9670997410251585,0.032900258974841556,0.0,18.111045121545484
254,0.9670817766543358,0.03291822334566414,0.0,18.13731199975505
255,0.9660416489309837,0.033958351069016374,0.0,18.153077564231417
256,0.9651132910230313,0.034886708976968675,0.0,18.16655469092179
257,0.9672552670733361,0.03274473292666392,0.0,18.152858717041813
258,0.9670210160512479,0.032978983948752066,0.0,18.171983978532122
259,0.967343915438856,0.032656084561144036,0.0,18.152631635999423
260,0.9658706939214742,0.03412930607852586,0.0,18.18348494728369
261,0.9638883584089635,0.03611164159103651,0.0,18.218241174822833
262,0.9630735709634425,0.036926429036557525,0.0,18.236142968997296
263,0.965889549173657,0.03411045082634295,0.0,18.28427340946275
264,0.964361246208541,0.035638753791458935,0.0,18.256801890915817
265,0.9627752857297764,0.03722471427022353,0.0,18.201997243926364
266,0.9631388556975669,0.03686114430243313,0.0,18.18973144197305
267,0.9634178539893129,0.03658214601068709,0.0,18.1752898439724
268,0.9616032461152834,0.03839675388471667,0.0,18.194121151026614
269,0.9607287317050551,0.03927126829494484,0.0,18.19037219887575
270,0.9593525117163161,0.04064748828368393,0.0,18.19447748959346
271,0.9593432869161528,0.040656713083847204,0.0,18.179666619913778
272,0.95753561081172,0.04246438918827999,0.0,18.205881310528717
273,0.9585841273294955,0.04141587267050452,0.0,18.188896497994982
274,0.9587819998461197,0.04121800015388028,0.0,18.249168837624776
275,0.9628710298692601,0.03712897013073987,0.0,18.286966388887247
276,0.9634738049419102,0.03652619505808983,0.0,18.27464434308209
277,0.9647060276685676,0.035293972331432416,0.0,18.292321519930947
278,0.962986596864822,0.037013403135177946,0.0,18.293083120495382
279,0.9627308759778097,0.03726912402219028,0.0,18.320972824626747
280,0.9626834210715877,0.037316578928412295,0.0,18.336191054961493
281,0.9619635720378733,0.03803642796212668,0.0,18.359263812324198
282,0.9643540357237568,0.03564596427624322,0.0,18.301167733447397
283,0.963368567041478,0.03663143295852204,0.0,18.29962454836949
284,0.9632902887290096,0.03670971127099045,0.0,18.289565706770762
285,0.9624824047188946,0.03751759528110542,0.0,18.309567825241096
286,0.9628338971448753,0.03716610285512465,0.0,18.302374564003536
287,0.9608433816539399,0.03915661834606011,0.0,18.315544814546865
288,0.9611235904050134,0.03887640959498664,0.0,18.325868970724592
