t,gamma,leak,mass_total,mass_out
0.0,0.6,0.00011612202541749234,39.27271883351106,0.004560427654599118
0.01,0.5280678838581743,0.00011528541705821955,39.268743467779586,0.00452711346803532
0.02,0.6,0.00011454814340591513,39.26477228481723,0.00449770676648196
0.03,0.13719925106982128,0.00011374343873267981,39.26079873720995,0.004465658255762027
0.04,0.6,0.00011348134101034514,39.25684677400449,0.0044549196157517845
0.05,0.6,0.00011270329209543906,39.2528748466792,0.004423928219431111
0.06,0.44966768214654285,0.00011194176206428953,39.248903847565664,0.004393591455788486
0.07,0.0,0.00011136418937413934,39.24494034793899,0.004370480968884791
0.08,0.11949333337422484,0.0001113008277713421,39.24099731090522,0.004367555483276872
0.09,0.6,0.00011111201541790682,39.23704964297582,0.004359707664883616
0.1,0.4650899808115858,0.00011039811608217075,39.23308166060832,0.004331258303429232
0.11,0.6,0.00010984784639348132,39.22912037479941,0.004309234389082464
0.12,0.0,0.00010916212030931139,39.225154054594896,0.004281900986059071
0.13,0.0,0.00010914603754006679,39.22121427721787,0.004280840125868334
0.14,0.6,0.00010913680748212998,39.21727505818619,0.0042800481979991135
0.15,0.6,0.00010848066699297446,39.21331075788657,0.004253886106018424
0.16,0.2731732418144207,0.00010783882076136983,39.20934729187884,0.004228289774779332
0.17,0.6,0.00010756290417872667,39.205398447088065,0.00421704651645304
0.18,0.6,0.00010694454837475389,39.20143645757531,0.004192379917597111
0.19,0.6,0.00010634017815815601,39.197475288444224,0.004168266505523183
0.2,0.4303511184884157,0.0001057497229933393,39.19351493636674,0.004144703347656195
0.21,0.0,0.00010535234928163277,39.18956242296848,0.004128712468579031
0.22,0.18156418762421636,0.00010541857335288406,39.185628352733914,0.004130893036881639
0.23,0.6,0.00010529979416774263,39.181687318324194,0.004125823609764495
0.24,0.5310083072974872,0.00010474828840643946,39.177729608934825,0.004103800120186313
0.25,0.6,0.00010428158244695974,39.17377549038144,0.004085103298559007
0.26,0.0,0.00010375428759296775,39.16981926818433,0.00406403669331587
0.27,0.19642201632323408,0.00010386181543537073,39.165888179462286,0.004067840249457784
0.28,0.6,0.00010377187944034466,39.16194963977546,0.004063909116667732
0.29,0.6,0.00010327110825407043,39.15799528797531,0.0040438895703969815
0.3,0.4826201184556746,0.00010278217203660529,39.15404166513643,0.004024337446354567
0.31,0.0,0.00010242586559889093,39.15009350031286,0.004009982215047161
0.32,0.0,0.00010257484957950782,39.14616538539677,0.004015412026021712
0.33,0.6,0.00010273047636869369,39.14223781096199,0.004021100736456922
0.34,0.6,0.00010227584886806813,39.13828662959469,0.004002901488283661
0.35000000000000003,0.5403682254211144,0.00010183265762907076,39.13433615816205,0.0039851534555351825
0.36,0.6,0.00010146130444139727,39.130388759889584,0.003970220286877489
0.37,0.0,0.0001010397428683251,39.126439659945504,0.0039533254025940325
0.38,0.36307619000102176,0.0001012352058251987,39.12251496274466,0.0039605758546529726
0.39,0.6,0.00010106873359901284,39.11857638321129,0.003953664975247518
0.4,0.6,0.00010067059098610175,39.11462900738269,0.003937692818375435
0.41000000000000003,0.6,0.00010028296026074382,39.110682301530815,0.003922134999015092
0.42,0.0,9.990563466898281e-05,39.106736257008066,0.003906983305589013
0.43,0.0,0.0001001385084872792,39.10281433314201,0.003915697504975944
0.44,0.1536203865335866,0.00010037720698669562,39.09889291211538,0.0039246376667901525
0.45,0.6,0.00010046807583074372,39.094965985566375,0.00392779600723833
0.46,0.0,0.00010011667624840875,39.09102203770604,0.003913663197568528
0.47000000000000003,0.2631659686222144,0.00010037653804596855,39.087102239511104,0.0039234280050510495
0.48,0.0,0.00010037817177903608,39.08317262074281,0.003923097414994742
0.49,0.0,0.00010065144664329175,39.07925388255096,0.003933383437019331
0.5,0.0,0.00010093153410348771,39.07533568222696,0.0039439335760160215
0.51,0.5311650278115285,0.00010121859548166199,39.07141802540982,0.003954754056008975
0.52,0.0,0.00010097382473398768,39.06747985950112,0.003944792864131961
0.53,0.3384265589321078,0.00010127433135378446,39.063563248713564,0.003956136248309836
0.54,0.0,0.0001012382349496332,39.05963375827479,0.003954328379466949
0.55,0.0,0.00010155162850887261,39.05571817628171,0.003966171783385085
0.56,0.49878258611433735,0.00010187061561384272,39.05180308087019,0.003978231220678908
0.5700000000000001,0.6,0.00010168694554461106,39.047868623247595,0.003970658490325407
0.58,0.0,0.00010140829322627524,39.04393070672323,0.003959378373813863
0.59,0.0,0.00010174737178996848,39.0400171548272,0.003972219140139052
0.6,0.16875439884529642,0.00010209235804706171,39.03610409953518,0.003985287916492221
0.61,0.3473828923402302,0.00010227064059390467,39.0321848020898,0.003991846543489497
0.62,0.0,0.00010227216376420527,39.02825886411286,0.003991504481982449
0.63,0.6,0.00010263541285067512,39.02434729556329,0.004005279995908368
0.64,0.6,0.00010238832211559793,39.02041217243412,0.003995234530594686
0.65,0.0,0.00010215087302382226,39.01647766699306,0.0039855672559979075
0.66,0.6,0.00010253562024915367,39.01256767845312,0.004000177824422378
0.67,0.0,0.00010231053426523507,39.00863416078824,0.003990994201947447
0.68,0.6,0.00010270771701250612,39.00472515658808,0.00400608627353353
0.6900000000000001,0.6,0.00010249362732933236,39.000792570832104,0.003997332699303562
0.7000000000000001,0.6,0.00010228827774647334,38.9968605641311,0.003988921704624437
0.71,0.0,0.00010209181451818789,38.99292914163901,0.003980858889449155
0.72,0.0,0.00010251622064289642,38.98902216585141,0.003997007199005305
0.73,0.0,0.00010294639935820877,38.98511567420973,0.004013377287223263
0.74,0.0,0.00010338154907260552,38.98120963477569,0.004029937836767189
0.75,0.6,0.00010382155051429787,38.97730404222081,0.004046684140530678
0.76,0.6,0.00010364421347624123,38.97337464448633,0.004039364761542772
0.77,0.41541135763492004,0.00010347527478660769,38.969445807134434,0.004032374113175156
0.78,0.27608694019165514,0.00010350582523278347,38.965524976340305,0.0040331588183048425
0.79,0.0,0.00010368705766599822,38.961610256239304,0.004039814729398936
0.8,0.0,0.00010415993018721313,38.95770714312047,0.004057832056281427
0.81,0.42897381925233247,0.00010463792856351594,38.953804484209805,0.004076045410896017
0.8200000000000001,0.1921918972148067,0.00010467249605592618,38.9498848057455,0.00407698166370828
0.8300000000000001,0.0,0.00010496147283075748,38.945975272317014,0.0040878269254127604
0.84,0.0,0.00010545726011514731,38.94207403820249,0.004106724431270151
0.85,0.08913304775045222,0.00010595844672297573,38.93817326642908,0.0041258283575410296
0.86,0.0,0.0001063705941425162,38.93426927901177,0.004141461355713305
0.87,0.0,0.0001068826506670794,38.9303694284957,0.004160981075966361
0.88,0.0,0.00010739966019335842,38.9264700208866,0.004180689652770282
0.89,0.3730217942127782,0.00010792165479057183,38.9225710567375,0.004200588277146836
0.9,0.10402988409858299,0.00010804611242369137,38.91865686803624,0.00420500957534302
0.91,0.0,0.00010846676092733243,38.91475443862063,0.0042209573662398215
0.92,0.0,0.00010900555713584518,38.910856849927484,0.004241499629559572
0.93,0.0,0.00010955002321562123,38.90695972876125,0.004262258341535145
0.9400000000000001,0.4287845160107052,0.0001100999543184592,38.90306306644405,0.004283225466463737
0.9500000000000001,0.0,0.0001101832791505947,38.89914849706658,0.004286035737572833
0.96,0.15999430454144803,0.00011074518872978129,38.89525276984514,0.00430746210868916
0.97,0.6,0.00011113495538695118,38.89135059137239,0.004322188512910559
0.98,0.6,0.00011104050019981648,38.88742981698357,0.004318079658363225
0.99,0.10559427379355346,0.00011095345884570432,38.88350954621725,0.004314259876212877
1.0,0.6,0.00011142242742663963,38.87961111012336,0.004332060647293804
1.01,0.6,0.00011134564872960087,38.875691692693614,0.004328639111335037
1.02,0.0,0.00011127613014365347,38.87177277096916,0.004325500445777001
1.03,0.37158343886994394,0.00011188171125923728,38.86788030482302,0.004348604961522917
1.04,0.5594550606248939,0.00011207687999235806,38.86397212742638,0.004355752740152027
1.05,0.0,0.000112066719385365,38.860056192403746,0.004354919012613739
1.06,0.27208576607853224,0.00011268999815925092,38.85616508593286,0.004378701172009437
1.07,0.0,0.00011301201375419058,38.85226251252958,0.004390772425447529
1.08,0.024536467347337994,0.0001136472721004114,38.84837233470574,0.0044150115413805115
1.09,0.0,0.00011425983440916162,38.84448151302963,0.004438364025388619
1.1,0.41931304279452664,0.00011490540888151476,38.840592209657665,0.004462994129051006
1.11,0.6,0.00011507424719885903,38.836684625754295,0.004469102247008293
1.12,0.09272438258787952,0.0001150407538879484,38.83276939855577,0.004467351067166824
1.1300000000000001,0.0,0.00011559755231078624,38.828877299371186,0.004488523174783277
1.1400000000000001,0.0,0.00011626622512510721,38.82498977437512,0.004514035001587599
1.1500000000000001,0.0,0.00011693996481904771,38.8211026802925,0.0045397383816701605
1.16,0.6,0.0001176187926878114,38.81721601721526,0.0045656340834469514
1.17,0.6,0.00011759710436153701,38.813302394332055,0.004564331972282279
1.18,0.0,0.00011758221407559292,38.80938923594449,0.004563293913283954
1.19,0.0,0.00011827953242905288,38.80550391857327,0.004589896859162745
1.2,0.0,0.00011898184005900159,38.80161902606274,0.004616688028989429
1.21,0.4825658508993052,0.00011968914653272276,38.79773455804255,0.004643667736655356
1.22,0.08070167482585394,0.00011982401090629819,38.79382810992868,0.004648432082541272
1.23,0.3967229879157467,0.000120446161146568,38.7899407688615,0.004672099456712241
1.24,0.3094298430377152,0.00012069239477342779,38.78603906994674,0.004681179939127727
1.25,0.0,0.00012104910631093179,38.782141862349974,0.004694543613261362
1.26,0.0,0.00012178501743644743,38.77825957165423,0.004722611018089117
1.27,0.6,0.00012252620923891932,38.77437771261237,0.004750877516724556
1.28,0.6,0.0001225373293665252,38.770467771001385,0.0047508295789495695
1.29,0.6,0.00012255521107325373,38.766558283216526,0.004751043732983317
1.3,0.5824289973430684,0.00012257963463066862,38.76264924023263,0.004751511381184604
