t,gamma,leak,mass_total,mass_out
0.0,0.0,0.00011612202541749234,39.27271883351106,0.004560427654599118
0.01,0.0,0.00011596039411629199,39.26877084184468,0.00455362214328278
0.02,0.0,0.00011580619434215667,39.264823449139286,0.004547109775161611
0.03,0.0,0.00011565970817790674,39.26087666598117,0.004540901537996286
0.04,0.0,0.00011552085069292281,39.256930488541904,0.004534994005629414
0.05,0.0,0.00011538991015195977,39.25298492764444,0.004529398403997239
0.06,0.0,0.00011526695384619782,39.249039985432475,0.004524117280508533
0.07,0.0,0.00011515186993983396,39.24509565701728,0.004519146150873312
0.08,0.0,0.00011504466560878181,39.241151942181844,0.004514485203291825
0.09,0.0,0.00011494502471657135,39.23720882802105,0.0045101219385462665
0.1,0.0,0.00011485307644013217,39.23326631910717,0.004506061335544594
0.11,0.0,0.0001147684019893063,39.22932439851085,0.0045022868723373095
0.12,0.0,0.00011469125122317042,39.225383075539696,0.004498808264641935
0.13,0.0,0.0001146212261560458,39.22144233408437,0.004495609811941508
0.14,0.0,0.00011455808663249634,39.21750216423149,0.0044926820104402585
0.15,0.0,0.00011450188324366231,39.2135625674733,0.00449002676266899
0.16,0.0,0.00011445362688331843,39.20962358295796,0.004487683627799348
0.17,0.0,0.00011441218290315044,39.20568516568989,0.004485608022020359
0.18,0.0,0.00011437723366970177,39.20174730272281,0.0044837874115042425
0.19,0.0,0.0001143497022797765,39.19781002975419,0.004482257906921743
0.2,0.0,0.00011432977711654307,39.193873353666675,0.004481026804858842
0.21,0.0,0.00011431708640566352,39.18993725938426,0.004480079443913677
0.22,0.0,0.00011431094897698777,39.186001719710674,0.004479389043194116
0.23,0.0,0.00011431131024458698,39.182066732013354,0.004478953386227403
0.24,0.0,0.00011431868284555386,39.17813231588519,0.004478792482700939
0.25,0.0,0.00011433249946421261,39.1741984485992,0.004478884023135541
0.26,0.0,0.00011435299859605518,39.170265139004044,0.004479237274447753
0.27,0.0,0.00011437977775072432,39.166332370836045,0.004479836391887341
0.28,0.0,0.00011441301221287466,39.16240015046675,0.004480688166700952
0.29,0.0,0.00011445293257364913,39.158468486430266,0.004481801553364882
0.3,0.0,0.00011449946078885616,39.15453737517052,0.004483173416894254
0.31,0.0,0.00011455248643401852,39.15060681186411,0.004484799355699771
0.32,0.0,0.00011461250928586539,39.14667681557875,0.004486698860036406
0.33,0.0,0.00011467951949108381,39.142747385423064,0.004488871461721309
0.34,0.0,0.00011475326586563967,39.1388185110586,0.004491307246266642
0.35000000000000003,0.0,0.00011483342720529077,39.13489017940964,0.0044939935626044005
0.36,0.0,0.00011491998220315114,39.13096238914146,0.0044969295013524285
0.37,0.0,0.00011501280027504029,39.127035134642746,0.0045001098772952655
0.38,0.0,0.00011511166294318181,39.12310840686457,0.004503526068220672
0.39,0.0,0.00011521638021342203,39.11918219787502,0.004507170569748614
0.4,0.0,0.00011532698151048193,39.11525650832819,0.004511044464113838
0.41000000000000003,0.0,0.00011544371219685756,39.111331347323556,0.00451515727969647
0.42,0.0,0.00011556625516698586,39.10740670195689,0.004519496541837559
0.43,0.0,0.00011569461357676513,39.10348257185303,0.004524062305656422
0.44,0.0,0.00011582948032280577,39.09955898360775,0.0045288815979222935
0.45,0.0,0.00011597138874424058,39.09563595756656,0.004533975195838378
0.46,0.0,0.00011611940504701502,39.09171345670656,0.0045393065088612725
0.47000000000000003,0.0,0.0001162736824492135,39.0877914865126,0.004544881454943954
0.48,0.0,0.00011643344784858707,39.083870016258096,0.00455066974125906
0.49,0.0,0.00011659991799585635,39.07994909300029,0.004556718859526191
0.5,0.0,0.00011677337193684805,39.076028727130634,0.0045630396363683014
0.51,0.0,0.0001169537218881853,39.07210891470109,0.004569628559594954
0.52,0.0,0.00011713997463996016,39.0681896163868,0.004576446740892822
0.53,0.0,0.00011733243934462788,39.06427084375957,0.004583506189317653
0.54,0.0,0.00011753189728729626,39.06035262682955,0.004590837352942221
0.55,0.0,0.00011773715539660666,39.056434918473585,0.004598393547233897
0.56,0.0,0.00011794821510895536,39.052517718240544,0.004606174760377444
0.5700000000000001,0.0,0.00011816449612283487,39.0486010029599,0.004614158261816499
0.58,0.0,0.00011838632395264569,39.04468478484097,0.004622356701567238
0.59,0.0,0.00011861406948638447,39.04076907785897,0.004630784496203173
0.6,0.0,0.00011884774226929367,39.036853881875274,0.004639441949157308
0.61,0.0,0.00011908670234191956,39.032939171395384,0.0046483040086343335
0.62,0.0,0.00011933079090658821,39.02902493971561,0.00465736441436934
0.63,0.0,0.00011958167907588028,39.025111251555074,0.0046666883295841035
0.64,0.0,0.0001198382836879419,39.02119806411818,0.004676233403451284
0.65,0.0,0.00012010051389366015,39.017285373347576,0.004685996024074754
0.66,0.0,0.00012036832986246842,39.013373177177336,0.00469597457163818
0.67,0.0,0.00012064194482016328,39.00946148341423,0.004706177299746465
0.68,0.0,0.00012092221911322278,39.00555032510546,0.0047166377030443615
0.6900000000000001,0.0,0.00012120835301614442,39.00163967053071,0.00472732450939427
0.7000000000000001,0.0,0.0001214999889618283,38.99772950522677,0.004738223704421541
0.71,0.0,0.0001217969066012336,38.99381982008669,0.004749326630652553
0.72,0.0,0.00012209939349513074,38.98991062581206,0.0047606444398411284
0.73,0.0,0.00012240769701556616,38.9860019315323,0.004772186712283405
0.74,0.0,0.0001227210608093014,38.98209370724027,0.004783923892320241
0.75,0.0,0.00012303975127801153,38.97818596280996,0.004795866306132341
0.76,0.0,0.0001233636047983785,38.9742786913486,0.004808007513781517
0.77,0.0,0.00012369272151625417,38.97037189624575,0.004820351358347307
0.78,0.0,0.00012402693626713178,38.96646557054929,0.004832891341874026
0.79,0.0,0.00012436690701813936,38.962559739384325,0.004845653044296835
0.8,0.0,0.0001247126739771853,38.95865440379497,0.004858637965250441
0.81,0.0,0.00012506477571973024,38.95474958424032,0.004871867019971395
0.8200000000000001,0.0,0.00012542233228509701,38.95084524591031,0.00488530585521808
0.8300000000000001,0.0,0.0001257855568321594,38.94694139658693,0.004898962710479293
0.84,0.0,0.00012615367289200806,38.94303800550429,0.0049128072779675526
0.85,0.0,0.00012652690859899364,38.93913508103121,0.004926848385321629
0.86,0.0,0.00012690582110031707,38.935232644344175,0.004941107668462494
0.87,0.0,0.00012728987542333237,38.931330674087256,0.0049555642315692525
0.88,0.0,0.00012767923051122055,38.92742917592802,0.004970224202962653
0.89,0.0,0.0001280735593391105,38.9235281366129,0.004985074790492158
0.9,0.0,0.0001284730324794932,38.91962756226159,0.00500012257589634
0.91,0.0,0.00012887786071760546,38.91572746055557,0.005015375703385904
0.92,0.0,0.00012928768807273766,38.911827817115714,0.005030820257159462
0.93,0.0,0.00012970242439351936,38.907928627911936,0.005046452671170326
0.9400000000000001,0.0,0.0001301223362684285,38.90402990279539,0.00506228326120867
0.9500000000000001,0.0,0.0001305471893321683,38.900131632122736,0.005078302849225127
0.96,0.0,0.0001309780757922705,38.89623385785907,0.005094553866268675
0.97,0.0,0.0001314149632105539,38.89233657820608,0.005111034980597564
0.98,0.0,0.0001318572961238915,38.888439771023,0.005127724518684032
0.99,0.0,0.00013230493765768316,38.88454343045585,0.005144617094414067
1.0,0.0,0.00013275773647600562,38.88064755008982,0.0051617067614714105
1.01,0.0,0.00013321574662357246,38.8767521314974,0.005178995561497121
1.02,0.0,0.00013367899423183868,38.87285717516441,0.005196484450094026
1.03,0.0,0.00013414737309222567,38.868962676431025,0.005214169237863121
1.04,0.0,0.00013462097452478602,38.86506863831649,0.005232053415062998
1.05,0.0,0.0001351003236563761,38.86117508069845,0.005250157331069594
1.06,0.0,0.00013558500040693392,38.85728198671272,0.0052684645939809266
