t,C,sigma,norm
64,1.535274322297244e-25,0.0,0.2729158492956523
65,2.3343604534042574e-25,0.0,0.2703035602548457
66,3.519813990136138e-25,0.0,0.2677587868025611
67,5.264759708539121e-25,0.0,0.26527884941536595
68,7.814008892068276e-25,0.0,0.26286119997397794
69,1.1511398056553038e-24,0.0,0.26050341451669906
70,1.6836691846522875e-24,0.0,0.258203186422368
71,2.4455104739317717e-24,0.0,0.2559583199960737
72,3.528338166586578e-24,0.0,0.25376672443260606
73,5.057749441451729e-24,0.0,0.25162640813423587
74,7.204841266445191e-24,0.0,0.24953547336092766
75,1.0201416073252108e-23,0.0,0.2474921111924931
76,1.43598551725212e-23,0.0,0.24549459678351018
77,2.0098969323936105e-23,0.0,0.24354128489306034
78,2.797746945041911e-23,0.0,0.2416306056724799
79,3.8737110633202676e-23,0.0,0.23976106069539402
80,5.335806492693158e-23,0.0,0.23793121921530064
81,7.312969170212555e-23,0.0,0.2361397146369053
82,9.974061993669183e-23,0.0,0.23438524118828002
83,1.3539296068807627e-22,0.0,0.2326665507817358
84,1.829465597646887e-22,0.0,0.23098245005205978
85,2.4610051522745026e-22,0.0,0.22933179756147967
86,3.2962076231616307e-22,0.0,0.22771350116138686
87,4.396244167134962e-22,0.0,0.22612651550146803
88,5.839338201018636e-22,0.0,0.22456983967748262
89,7.7251591246714385e-22,0.0,0.22304251500946465
90,1.0180257357575003e-21,0.0,0.22154362294263877
91,1.336476636210701e-21,0.0,0.22007228306381726
92,1.748064172870876e-21,0.0,0.2186276512264915
93,2.27817596603814e-21,0.0,0.217208917778248
94,2.958625855365998e-21,0.0,0.2158153058845315
95,3.829157923826324e-21,0.0,0.2144460699431439
96,4.939274340645954e-21,0.0,0.2131004940842096
97,6.350450764696322e-21,0.0,0.2117778907506604
98,8.138814434488176e-21,0.0,0.2104775993545926
99,1.0398373283016486e-20,0.0,0.20919898500513315
100,1.3244899715562185e-20,0.0,0.20794143730371228
101,1.6820590368895434e-20,0.0,0.20670436920289134
102,2.129964355963458e-20,0.0,0.20548721592512348
103,2.689491959579567e-20,0.0,0.20428943393804522
104,3.3865876080363396e-20,0.0,0.20311049998309702
105,4.2528001238478647e-20,0.0,0.20194991015446728
106,5.3264003662669116e-20,0.0,0.20080717902552753
107,6.653705726328873e-20,0.0,0.19968183882010082
108,8.290644626707878e-20,0.0,0.1985734386260577
109,1.0304600752780148e-19,0.0,0.19748154364888634
110,1.2776582697707626e-19,0.0,0.19640573450301915
111,1.5803771461113842e-19,0.0,0.19534560653883187
112,1.9502505893028179e-19,0.0,0.19430076920334913
