step,peak,width,gain,chi,norm
0,1.000074482845787,6.000101480466849,0.0,0.008,3.2613627933048206
1,0.9997761267564467,6.000150156691304,0.0,0.008,3.260403043364216
2,0.9995519764035773,6.00099619229695,0.0,0.008,3.259901861924159
3,0.999026804120908,6.001643237124087,0.0,0.008,3.25836473342465
4,0.9989847522934544,6.001777737955226,0.0,0.008,3.2582640890786565
5,0.9990607711367119,6.002504223416954,0.0,0.008,3.2587092376690174
6,0.9992815184216279,6.002434364349269,0.0,0.008,3.2594102979598305
7,0.9996167292212882,6.002585972794654,0.0,0.008,3.2605448494200338
8,0.9996078808925278,6.002610771834203,0.0,0.008,3.2605227232144562
9,0.9993531700531465,6.002660632852259,0.0,0.008,3.2597054453332315
10,0.9994599137119773,6.003004968220131,0.0,0.008,3.2601471266070696
11,0.999362790699199,6.003356774915959,0.0,0.008,3.259925840131826
12,0.9995530999698214,6.003752134468275,0.0,0.008,3.260653992001328
13,0.999358380253824,6.003830553150417,0.0,0.008,3.2600400849933746
14,0.9990272896521626,6.003873097521145,0.0,0.008,3.25897157017937
15,0.999143628120484,6.003523187052976,0.0,0.008,3.259256102934116
16,0.9987436581609298,6.003097074610182,0.0,0.008,3.2578357591136458
17,0.9987288498641116,6.003316843356611,0.0,0.008,3.2578470874240635
18,0.9988686700618077,6.002823717400211,0.0,0.008,3.2581693550836937
19,0.9990739049194798,6.0029101128369176,0.0,0.008,3.25886225365239
20,0.9991159648248865,6.002911914148897,0.0,0.008,3.2589999371146905
21,0.998994077365989,6.002526146415252,0.0,0.008,3.258497648245818
22,0.9987790938856201,6.00294968338352,0.0,0.008,3.2579113523828376
23,0.9988451723236494,6.003290648406361,0.0,0.008,3.2582194220376217
24,0.9991946843335856,6.00311434952734,0.0,0.008,3.2593116662568304
25,0.999305648658811,6.003388478829487,0.0,0.008,3.259748049924771
26,0.9988726243806035,6.003730742183898,0.0,0.008,3.2584283993776495
27,0.9990102321605245,6.003861243163756,0.0,0.008,3.2589127088859438
28,0.9991647157323298,6.003939520810866,0.0,0.008,3.2594379040312713
29,0.9992105448124952,6.004064700465406,0.0,0.008,3.259621386296039
30,0.9992251673012014,6.004291983961014,0.0,0.008,3.259730784432451
31,0.9994395309781846,6.004219272859617,0.0,0.008,3.2604103524308723
32,0.9994188285282652,6.004372220880866,0.0,0.008,3.260384341879268
33,0.9992809251105509,6.004480206376488,0.0,0.008,3.2599637762550633
34,0.9989265455136251,6.004149446489489,0.0,0.008,3.2587179224999936
35,0.9987001216930732,6.004180852688791,0.0,0.008,3.257987799061825
36,0.9987684252148853,6.004412346024406,0.0,0.008,3.258273430874836
37,0.9987155893579771,6.004819884131643,0.0,0.008,3.258211631765611
38,0.9987716781516378,6.004893692491866,0.0,0.008,3.258414641201181
39,0.9984096858825176,6.0041873348873915,0.0,0.008,3.2570420893145657
40,0.9984378387142353,6.004388786657625,0.0,0.008,3.2571885713527893
41,0.9984145158806453,6.003680474267609,0.0,0.008,3.2569203660585955
42,0.9983093141934287,6.0036422243846115,0.0,0.008,3.2565668144772357
43,0.9982651969526954,6.003829970539682,0.0,0.008,3.2564738175213437
44,0.9981230198369458,6.004148418897363,0.0,0.008,3.2560963665186953
45,0.9980593425962712,6.00402146560447,0.0,0.008,3.2558542155185566
46,0.9978527586067572,6.0041592208854855,0.0,0.008,3.255217643273449
47,0.9978050003336626,6.003948754191574,0.0,0.008,3.25500479403642
48,0.9978503721748729,6.004115420186102,0.0,0.008,3.2551979847052244
49,0.9978558521140449,6.004128454576092,0.0,0.008,3.25521939480773
50,0.9978024707073179,6.0046496080060185,0.0,0.008,3.255186517796951
51,0.9977289573456152,6.004902168704319,0.0,0.008,3.255015143267906
52,0.9976283397104552,6.004930603469801,0.0,0.008,3.254694591738334
53,0.9975933451508908,6.0050703141236275,0.0,0.008,3.2546182846655345
54,0.9975831502727307,6.005205465118006,0.0,0.008,3.254621648060353
55,0.9974551717261292,6.005193676003121,0.0,0.008,3.2542009229569278
