step,peak,width,gain,chi,norm
0,0.9998200057042016,6.000308803400079,0.21952547508677958,0.009756203800694238,3.260589243333303
1,0.9989827322330724,6.000241870951903,0.04638199040939836,0.008371055923275186,3.257840576498541
2,0.9973693650372061,6.006113684519869,0.23022511371761822,0.009841800909740947,3.2541702226209757
3,0.9948342324156563,6.002176803758716,0.23664146594188198,0.009893131727535056,3.2448347267706037
4,0.9983297180092939,5.999878904582595,0.21862702259616373,0.00974901618076931,3.2556125202546644
5,0.9985769959570991,6.001196289730249,0.02893569072834734,0.008231485525826778,3.2567763924183866
6,0.9992452248923072,6.000575578392797,0.048432915591388154,0.008387463324731104,3.2587872225758576
7,1.0004318278643887,6.000641306828469,0.08543429937941285,0.008683474395035303,3.2626748990293253
8,0.9997902870524316,6.000021098046718,0.12394772506531798,0.008991581800522544,3.2604141569003655
9,0.9973044675739813,5.999906836132136,0.2245928082012655,0.009796742465610126,3.252276687896257
10,0.9974380059764588,6.000265362772482,0.0016146547998807659,0.008012917238399047,3.252809347628068
11,0.9975893550159275,6.0010072952180655,0.05685286675125528,0.008454822934010044,3.2535040508688753
12,1.000221865652942,6.002140161662912,0.19841373810152677,0.009587309904812213,3.2623975247787245
13,0.9990214466113776,6.000914777630144,0.10357167945152779,0.008828573435612223,3.2581495100220814
14,0.9985094180073769,6.000825055860439,0.02095360078002398,0.008167628806240192,3.2564552657185177
15,0.9992594779248829,5.998755056224963,0.09802390889768187,0.008784191271181456,3.2583393169319526
16,0.997835454845332,5.997699573078552,0.08489280668258287,0.008679142453460664,3.253409670924974
17,0.9978594651163987,5.998021351210969,0.0055756166844055655,0.008044604933475245,3.253575229688176
18,1.0001432681687372,5.996410305335786,0.22260957898445663,0.009780876631875653,3.2605837156802027
19,1.000371060870431,5.996628163235336,0.005967420668959333,0.008047739365351674,3.26138559017421
20,0.9997147065011721,6.000429825210481,0.2089550803882896,0.009671640643106317,3.260278722287925
21,0.9989449415158046,5.998176711036626,0.11489960387789391,0.008919196831023152,3.257156667078366
22,0.9986844571504915,5.9988180317302255,0.010107923234554589,0.008080863385876437,3.25648140894718
23,0.999591411686689,6.002252579387371,0.20324757584615533,0.009625980606769243,3.2603717218609876
24,1.001693178829145,5.998018970395171,0.19408841328124515,0.00955270730624996,3.2660746142103285
25,1.0006338966052575,6.001521982381389,0.17928220543868473,0.009434257643509478,3.26357335954771
26,0.9999016159692943,6.001848480299122,0.01635429505253111,0.00813083436042025,3.2612737290662794
27,1.0002769126550184,6.000520840148791,0.15719753478888293,0.009257580278311065,3.2621369340053303
28,1.0005574393949288,5.999889879216373,0.2465449123387736,0.009972359298710189,3.262880236172483
29,0.9998609187341366,6.00046167169741,0.19282848829220267,0.009542627906337621,3.2607642039588414
30,0.9997769980041311,6.000793237702997,0.05352007436752418,0.008428160594940193,3.2605806009912537
31,1.000094264779887,6.000526436039775,0.021468391784821683,0.008171747134278574,3.2615427973744424
32,0.9991079025214014,6.000516258059027,0.2434078496922459,0.009947262797537966,3.2583232745247788
33,0.9983210833634705,6.000261776115968,0.18512282732187765,0.009480982618575022,3.2556882351490883
34,0.996278189297657,5.99660480918545,0.24469183574569514,0.009957534685965561,3.248035784242742
35,0.9970577870497548,6.00041245848035,0.19654286504838875,0.00957234292038711,3.2516092468396174
36,0.9974984416659782,6.000723085836131,0.03338918897661361,0.00826711351181291,3.2531305118348626
37,0.99761905911643,6.001303370480027,0.02984755251730506,0.00823878042013844,3.2536811882446357
38,0.9981439502498183,6.000949674031152,0.055477077391388435,0.008443816619131107,3.255297160271644
39,0.9967812198733969,5.995707290651069,0.15647526309003493,0.009251802104720281,3.249432548793943
40,0.9986925289975089,6.001111060021826,0.17516333406018786,0.009401306672481503,3.2571300645649566
41,0.9989566262424722,5.994627335517161,0.19241283694448358,0.009539302695555868,3.256230913517231
42,0.9986514106962778,5.997525708995371,0.10130307994548912,0.008810424639563913,3.256022873558434
43,0.9987054076183755,5.999326194075935,0.08775315365776754,0.008702025229262141,3.2566876525403483
44,0.9980864475961101,6.002234791290096,0.22530309306534102,0.009802424744522729,3.2554581499403636
45,0.998091518827149,6.0016628666734695,0.02303480569153235,0.008184278445532258,3.2553195876706096
46,0.9978101332489351,6.001393062244414,0.051300594805742894,0.008410404758445943,3.2543286846234447
47,0.9981186774311371,5.999822862178257,0.081069820481907,0.008648558563855255,3.2549091029006076
48,0.9993493800051962,6.000789574700892,0.20188885688675362,0.00961511085509403,3.2591850123063164
49,0.999332132664886,6.0000562823487815,0.1157738941388669,0.008926191153110935,3.2589296257079803
50,0.9988664752352236,6.003395135182662,0.2135120766208582,0.009708096612966866,3.2583172668474987
51,0.9986542003179244,6.000235554231582,0.2290951998568306,0.009832761598854645,3.256767467726589
52,0.9985234829956179,6.000076536845676,0.07046325218035507,0.00856370601744284,3.256298028273034
53,0.9986484951157142,6.000343549493489,0.07799896318214186,0.008623991705457135,3.2567781703416525
54,0.998714684859006,6.000475557094932,0.029441579515082056,0.008235532636120656,3.257029854133575
55,0.9985418817298735,6.000276126700158,0.03535721002511252,0.0082828576802009,3.2564121888207973
56,0.9976870596501463,5.998205311872023,0.20385586017429702,0.009630846881394376,3.2530629771972723
57,0.9984858775235639,6.0000374239400225,0.06350242919590574,0.008508019433567245,3.2561647794861805
58,0.9987807789487431,5.999394098113001,0.020818329397839508,0.008166546635182716,3.2569518635334958
59,0.9984078297926708,6.000969734604911,0.22043274382290992,0.00976346195058328,3.2561632064214345
60,0.9999316764320106,5.999584966618024,0.07569325197061644,0.008605546015764931,3.2607567256121226
61,0.9980223458167381,5.997485705622401,0.20291468336395455,0.009623317466911637,3.253961005963244
62,0.9975104958109942,5.997782768914312,0.0158691613718972,0.008126953290975177,3.2523727097543143
63,0.9997937610096572,5.9980005585687595,0.1695623389748919,0.009356498711799135,3.2598764566524716
64,1.0002874966581599,5.998218840010451,0.01946013200511626,0.00815568105604093,3.261545651947003
65,0.9991124256169855,6.000134498268699,0.11122990575871392,0.008889839246069712,3.258234374124518
66,0.9992979493561047,6.001359575581537,0.09474545436610904,0.008757963634928872,3.2591720606921593
67,0.9988128144711595,6.001299508915987,0.06381212503805214,0.008510497000304417,3.25757350941741
68,0.9990868540095784,6.000133436188675,0.07370220152531004,0.008589617612202482,3.258150693455749
69,0.9994236514124076,6.000092566646105,0.057101325145300114,0.008456810601162401,3.2592379329849632
70,0.9984409724331936,5.998330609196398,0.17804256560733847,0.009424340524858708,3.2555551909905924
71,0.9982857377976189,5.99807392606218,0.034415706358936204,0.00827532565087149,3.2549793804716165
72,0.9976999739208368,5.998537114987461,0.15504191954419763,0.009240335356353581,3.2531950603962816
73,0.9980249124191988,5.999402644853681,0.03979695167231259,0.008318375613378502,3.2544893556350165
74,1.0019069326157133,6.001269277569895,0.24166484894062376,0.00993331879152499,3.2676565765759302
75,1.0008248835474622,6.001531684623092,0.14795093048155208,0.009183607443852417,3.2641989030849903
76,0.998256546645875,5.999835537370866,0.1283664996267796,0.009026931997014237,3.2553621391253613
77,0.998366380257513,6.001204033088937,0.15719943025755495,0.00925759544206044,3.2560915873800576
78,0.9977482982805774,5.998512114237991,0.10256624712581902,0.008820529977006553,3.2533458517008462
79,0.9972631902204816,6.002566058977046,0.1859727732210781,0.009487782185768625,3.2528626919105155
80,0.9981259751812258,6.0006632317927675,0.11694523013778221,0.008935561841102259,3.255160845493317
81,0.9992143203388371,5.997899398574704,0.16278520485689763,0.009302281638855181,3.257959687903976
82,0.9993893374333565,5.998208248576053,0.035340163458641216,0.00828272130766913,3.2586142296051577
83,1.0010711652594113,6.003789720824245,0.18698155191313162,0.009495852415305053,3.265616312851975
84,1.0007804623956493,6.001351664387807,0.12696503799492215,0.009015720303959376,3.2640050689344946
85,0.999860127649045,6.001008402300655,0.04406050550300811,0.008352484044024064,3.2609101724248726
86,0.9996682898605582,5.999924430732998,0.09932852924315103,0.008794628233945207,3.259990050663943
87,1.001340904787642,6.0039060879871045,0.13903535090883007,0.00911228280727064,3.2665278920393077
88,1.0013576014607695,6.003228907258955,0.0056258821104143986,0.008045007056883316,3.266398135001959
89,1.0005494460566353,5.99821286003858,0.22646736736008447,0.009811738938880677,3.2623981400755313
90,1.0005963577341621,5.998227782950045,0.13573224746456333,0.009085857979716507,3.262555159037896
91,0.9998673585089007,5.999304811400338,0.07474192478015707,0.008597935398241257,3.2604708584228073
92,0.9995645474832664,5.999733367431205,0.16120726332816165,0.009289658106625293,3.25959983827263
93,0.9998112180164723,5.999499349539713,0.005466565156102859,0.008043732521248823,3.260340649590261
94,0.9999976341145533,6.000181844794783,0.04342500042690378,0.008347400003415231,3.261134019693311
95,0.9991906821907455,6.001747831347422,0.1505485396882656,0.009204388317506125,3.2589276253844965
96,0.9998622955896912,6.001541465654209,0.03301404706689717,0.008264112376535177,3.261062071605982
97,0.9982810732362022,5.995288002729689,0.2425365613449917,0.009940292490759934,3.254208167508241
98,0.9992081059087445,6.007390336773418,0.22741387010449057,0.009819310960835924,3.2605160509721496
99,0.9978942854947995,6.003544484831404,0.09843875345818093,0.008787510027665448,3.2551864592311333
100,0.9977629324854104,6.003045020193346,0.03466553876695913,0.008277324310135673,3.2546225858908113
101,0.9961858293595921,5.996423411176603,0.23688776092384578,0.009895102087390766,3.24768555263634
102,0.9990287183683594,5.997136363647273,0.127063690256899,0.009016509522055191,3.2571473266358835
103,1.0004585583682761,6.002367340767491,0.16752718140818876,0.009340217451265509,3.263231293606433
104,0.9992320946726325,5.999650275562758,0.1332082034534661,0.009065665627627728,3.2584931389614273
105,0.9997505574399527,5.999924545125984,0.0691083394628777,0.008552866715703022,3.2602583622252324
106,1.0003710267292123,5.999650169074324,0.06959969762156537,0.008556797580972523,3.2622071643450132
107,1.0005952218986345,6.000820379739678,0.10391481343895995,0.00883131850751168,3.263256460976812
108,1.0006453792280428,6.001266421855646,0.06271547374640826,0.008501723789971266,3.2635413229016264
109,1.000064360873268,6.000029397044204,0.1273751773599601,0.009019001418879681,3.2613101939602522
110,0.9999669287307484,5.9992443204923624,0.07113180002483754,0.0085690544001987,3.260779107976937
111,1.0004644821441833,6.000571302809776,0.1326039555459506,0.009060831644367605,3.2627623613357213
112,1.000834011948361,6.000493716189368,0.04765791402164665,0.008381263312173173,3.2639463881021116
113,1.000096008928423,6.000585329944516,0.05705656023511413,0.008456452481880913,3.2615644911202337
114,1.0004600784316746,6.002567666582276,0.17855940246865146,0.009428475219749212,3.263290705583389
115,0.999081767816011,5.997437392588838,0.1526999572170325,0.00922159965773626,3.257402034791553
116,0.9982776908938501,6.001334286644174,0.21722641597581327,0.009737811327806507,3.2558376668630884
117,0.9985858742379852,5.998911572928001,0.11075174824191555,0.008886013985935325,3.2561853396298117
118,0.9997679252620114,6.001918855329382,0.1507534829119761,0.009206027863295808,3.2608568016917183
119,1.0010446143952865,5.995204072811199,0.24550104346270196,0.009964008347701616,3.26319394940522
120,0.999007437073821,6.000925741030176,0.15286531731454575,0.009222922538516367,3.2581067963470116
121,0.9988356338132313,6.00118766461995,0.020134998848403945,0.008161079990787232,3.257617577444986
122,0.9996256257176185,6.000239912758105,0.16248142710754077,0.009299851416860327,3.2599366218150037
123,0.9987112632679019,6.002876115369537,0.24620193545255561,0.009969615483620445,3.257670134046757
124,0.9987113498088473,6.001178898664845,0.08805558100098662,0.008704444648007893,3.2572098568101833
125,1.0006224371031986,6.0004720138533845,0.21191401485588493,0.009695312118847079,3.2632504934029387
126,0.9999916098818256,6.000004718314531,0.07898908562631202,0.008631912685010497,3.2610662391109035
127,0.9993167700091341,6.001160649208117,0.09559178564692877,0.008764734285175432,3.2591794263674574
128,0.9996731073673133,6.000758589366471,0.027384876255497015,0.008219079010043977,3.2602323693734006
129,1.0000331266966964,5.999791508636578,0.1543438228725542,0.009234750582980435,3.261143685548551
130,1.001633140001883,5.99793007008303,0.23960456804091698,0.009916836544327335,3.2658546514922584
131,1.0011867987672247,5.999074997803265,0.03845980455022943,0.008307678436401835,3.264710893679017
132,1.0005995931305145,5.998890433521208,0.24534539011976259,0.0099627631209581,3.262745918411271
133,0.9998707594450266,5.999808560101139,0.19642030623832055,0.009571362449906565,3.2606188334961304
134,0.9996569046949756,5.999952355222336,0.02453438028783861,0.00819627504230271,3.259960508951843
135,0.9994243171732972,6.000318332360428,0.012279695992010398,0.008098237567936083,3.2593014213091673
136,1.000712854193938,6.0008998709532895,0.09837860992978084,0.008787028879438247,3.263661713174764
137,0.9983682228961943,5.995806111638075,0.1742174874536559,0.009393739899629248,3.254632881495126
138,0.9986391039574544,5.999056164138767,0.20177650345969764,0.009614212027677581,3.2563981545359484
139,0.998590534687568,5.9993411337826625,0.020777919249699878,0.0081662233539976,3.2563171168263403
140,0.9989002697348538,5.9991257628862416,0.0813234303419349,0.008650587442735478,3.2572686678821925
141,0.997424478989798,6.000079390082242,0.07852126940983489,0.00862817015527868,3.2527148252806826
142,0.9982824232689966,6.000505533004489,0.04392912991041786,0.008351433039283342,3.255628285180242
143,1.0000981178323436,5.998609987337357,0.2378000137325414,0.009902400109860331,3.261034483561823
144,0.9994583163161336,6.000336819130871,0.1174407105876939,0.008939525684701551,3.2594173196575356
145,0.9984202824466031,5.9985582312331065,0.12288284364586385,0.00898306274916691,3.255549496750368
146,0.9984299646723623,5.997865589594927,0.06781047035986723,0.008542483762878937,3.2553931044135576
147,1.0001600317762265,6.00282253354712,0.18686795079580884,0.009494943606366471,3.26238127398484
148,0.9988976686449709,5.998690796150885,0.23322844892713068,0.009865827591417044,3.257142100107458
149,0.9982693998082308,5.998938042221822,0.1685291908535903,0.009348233526828722,3.255160562340966
150,0.9978427005988615,6.003751704560903,0.22364791463206088,0.009789183317056487,3.255074361437342
