t,kappa,ang_err,bmag,leakage,spread
0.0,0.6,0.7855210070160936,0.0009941163848078826,0.00046292411822587535,2.831093709123908
0.01,0.6,0.7855215481466988,0.0009899702289946893,0.0004701499860451736,2.8337587063892022
0.02,0.6,0.7855221972442057,0.0009858452290417742,0.000477449850682457,2.8364221208689067
0.03,0.6,0.7855229546224991,0.000981741264390889,0.00048482410982857215,2.839083956872696
0.04,0.6,0.7855238205940598,0.0009776582152116538,0.0004922731612517167,2.8417442186917796
0.05,0.6,0.7855247954699491,0.0009735959623970215,0.0004997974027905584,2.8444029105990074
0.06,0.6,0.7855258795597999,0.0009695543875587705,0.0005073972323473713,2.847060036848978
0.07,0.6,0.7855270731718003,0.0009655333730230261,0.000515073047881193,2.8497156016781418
0.08,0.6,0.785528376612683,0.0009615328018258109,0.0005228252474009983,2.8523696093049065
0.09,0.6,0.7855297901877147,0.0009575525577086235,0.0005306542289588935,2.8550220639297414
0.1,0.6,0.7855313142006803,0.0009535925251140448,0.0005385603906433289,2.8576729697352814
0.11,0.6,0.7855329489538749,0.0009496525891813727,0.0005465441305723299,2.8603223308864254
0.12,0.6,0.7855346947480877,0.000945732635742285,0.0005546058468867495,2.8629701515304413
0.13,0.6,0.7855365518825925,0.000941832551316529,0.0005627459377435374,2.865616435797067
0.14,0.6,0.7855385206551357,0.0009379522231076395,0.0005709648013090297,2.86826118779861
0.15,0.6,0.7855406013619239,0.0009340915389986831,0.000579262835752259,2.870904411630044
0.16,0.6,0.7855427942976112,0.0009302503875480302,0.0005876404392382818,2.8735461113691128
0.17,0.6,0.7855450997552897,0.0009264286579851541,0.0005960980099215273,2.876186291076425
0.18,0.6,0.7855475180264762,0.0009226262402064561,0.0006046359459391664,2.87882495479555
0.19,0.6,0.7855500494011003,0.0009188430247711178,0.0006132546454044971,2.8814621065531187
0.2,0.6,0.785552694167496,0.0009150789028969793,0.0006219545064003559,2.884097750358918
0.21,0.6,0.7855554526123858,0.0009113337664564443,0.000630735926972541,2.8867318902059838
0.22,0.6,0.7855583250208729,0.0009076075079724101,0.0006395993051232634,2.8893645300707
0.23,0.6,0.7855613116764286,0.000903900020614225,0.0006485450388046132,2.891995673912885
0.24,0.6,0.7855644128608823,0.0009002111981936697,0.0006575735259120477,2.894625325675895
0.25,0.6,0.7855676288544076,0.0008965409351609662,0.0006666851642778993,2.89725348928671
0.26,0.6,0.785570959935515,0.0008928891266008097,0.0006758803516649053,2.899880168656025
0.27,0.6,0.7855744063810386,0.0008892556682284279,0.0006851594857597554,2.902505367678347
0.28,0.6,0.7855779684661259,0.0008856404563856642,0.0006945229641666616,2.905129090232081
0.29,0.6,0.785581646464228,0.000882043388037086,0.0007039711844009484,2.907751340179621
0.3,0.6,0.7855854406470879,0.0008784643607661175,0.0007135045438826624,2.91037212136744
0.31,0.6,0.7855893512847296,0.0008749032727711978,0.0007231234399302059,2.91299143762618
0.32,0.6,0.7855933786454492,0.0008713600228619622,0.0007328282697539856,2.9156092927707387
0.33,0.6,0.7855975229958037,0.0008678345104554491,0.0007426194304500883,2.918225690600356
0.34,0.6,0.7856017846005994,0.0008643266355723299,0.0007524973189939734,2.9208406348987044
0.35000000000000003,0.6,0.7856061637228855,0.0008608362988331634,0.0007624623322341863,2.923454129433973
0.36,0.6,0.7856106606239388,0.0008573634014546736,0.0007725148668860972,2.926066177958952
0.37,0.6,0.7856152755632584,0.0008539078452460516,0.0007826553195256548,2.928676784211122
0.38,0.6,0.7856200087985536,0.0008504695326052807,0.0007928840865831658,2.9312859519127366
0.39,0.6,0.7856248605857341,0.0008470483665154842,0.000803201564337093,2.9338936847709025
0.4,0.6,0.7856298311789005,0.0008436442505412979,0.0008136081489078777,2.936499986477672
0.41000000000000003,0.6,0.7856349208303346,0.0008402570888252638,0.0008241042362517775,2.9391048607101147
0.42,0.6,0.7856401297904911,0.0008368867860842483,0.0008346902221547339,2.941708311130411
0.43,0.6,0.7856454583079859,0.0008335332476058815,0.0008453665022262528,2.944310341385925
0.44,0.6,0.7856509066295891,0.0008301963792450204,0.0008561334718933136,2.946910955109292
0.45,0.6,0.7856564750002133,0.0008268760874202344,0.0008669915263942939,2.949510155918492
0.46,0.6,0.7856621636629075,0.000823572279110312,0.0008779410607729205,2.95210794741694
0.47000000000000003,0.6,0.7856679728588447,0.0008202848618507904,0.0008889824698722398,2.9547043331935536
0.48,0.6,0.7856739028273161,0.0008170137437305076,0.0009001161483286094,2.957299316822844
0.49,0.6,0.7856799538057198,0.0008137588333881749,0.0009113424905657134,2.9598929018649844
0.5,0.6,0.7856861260295536,0.0008105200400089728,0.0009226618907885963,2.962485091865894
0.51,0.6,0.7856924197324062,0.0008072972733211672,0.0009340747429777249,2.9650758903573133
0.52,0.6,0.785698835145948,0.0008040904435927473,0.0009455814408830632,2.967665300856881
0.53,0.6,0.7857053724999221,0.0008008994616280854,0.0009571823780181773,2.9702533268682103
0.54,0.6,0.7857120320221385,0.0007977242387646165,0.0009688779476543581,2.9728399718809673
0.55,0.6,0.7857188139384625,0.000794564686869541,0.0009806685428147665,2.9754252393709413
0.56,0.6,0.7857257184728104,0.0007914207183365463,0.0009925545562686027,2.978009132800124
0.5700000000000001,0.6,0.7857327458471364,0.0007882922460825496,0.0010045363805252937,2.9805916556167826
0.58,0.6,0.7857398962814313,0.0007851791835444624,0.0010166144078287082,2.9831728112555314
0.59,0.6,0.7857471699937078,0.0007820814446759742,0.0010287890301513888,2.9857526031374095
0.6,0.6,0.785754567199997,0.000778998943944357,0.0010410606391888094,2.9883310346699505
