step,eta,mse,coherence,S,r_norm
0,0.6106746216769168,7.611308282656792e-09,0.14713950871363835,3.2947499886192952,0.16705622155756214
1,0.466427497509069,1.1931792369424225e-08,0.14103082293479396,3.2884406517741764,0.164302137839304
2,0.40938209863709,1.6224773976659844e-08,0.13596531661625005,3.299771206021548,0.16063932109493634
3,0.3487979274354182,2.0281935639830012e-08,0.12665761568643363,3.3001584260076817,0.16482297309555458
4,0.2926816592547631,2.100564737012951e-08,0.12306237678629764,3.2950075011611424,0.16131806037544064
5,0.26292188478793604,2.380835989982385e-08,0.12089225015052035,3.2869794689936316,0.16299861204210359
6,0.2292067810785861,2.749549364515151e-08,0.1200291208101458,3.2902903971034085,0.16171165327200918
7,0.22923200990663276,2.6862511356617692e-08,0.12314308072595759,3.28047077604144,0.16249368467051142
8,0.21695537976223542,2.496202552534873e-08,0.1285890273519258,3.2990078600937482,0.15494339525310127
9,0.22959573538858025,2.2469703015037316e-08,0.13129061671964048,3.2979148966004583,0.14327787835401107
10,0.2109506241829459,2.3260855051345194e-08,0.13019488309462257,3.300067725701285,0.1337960676808014
11,0.20895169669359162,2.297813044468356e-08,0.12240247756375885,3.2980742886890737,0.1332305681236165
12,0.19438734015997122,2.4003609983037704e-08,0.11963216449046468,3.299630907407039,0.13113082934989964
13,0.19181363874831878,2.4422713797330583e-08,0.1207009182136016,3.2855624949514013,0.1321368271607599
14,0.19710584843603235,2.4159514561466092e-08,0.12072255617596173,3.2908448611788943,0.12997473264477538
15,0.20206714284163094,2.2292770328266288e-08,0.1257572834474528,3.295383286651389,0.12881954741946247
16,0.1879530619360691,2.4253650540851482e-08,0.1303996839006539,3.294933349301539,0.12661914636380414
17,0.17221700905835974,2.5022171044952074e-08,0.12967330173057048,3.2952444809963906,0.12646989155495386
18,0.17809505999291772,2.474795820771617e-08,0.13027905619201197,3.3001841095132445,0.1264200420623497
19,0.17731275024359894,2.4768141456456353e-08,0.1305868827426416,3.2996938479251434,0.12576805117640333
20,0.17125627446380448,2.558113366388961e-08,0.12458798226803193,3.3030393549029196,0.12790490699036894
21,0.1708940184992071,2.5502910476488112e-08,0.12784831223215873,3.3062167172223513,0.12663995553347993
22,0.16950432217931977,2.6438578216252763e-08,0.12266251266829037,3.3001383141728513,0.12669021770585356
23,0.167081982546516,2.5547392460171715e-08,0.1241334805000602,3.303842886013786,0.12714701062405168
24,0.16173309112405213,2.7240732616053984e-08,0.12367197450877501,3.3027143709541713,0.1264771712775678
25,0.1677376104163983,2.5095195109682693e-08,0.12335754929759289,3.308755496925393,0.1244920341087913
26,0.16892638838935917,2.477316618025567e-08,0.1240465237177518,3.3023400273420735,0.12477074984499446
27,0.1622061892424905,2.5476136875082843e-08,0.12622019902882342,3.3103262039207513,0.12353242797145665
28,0.1574899767272151,2.587094368422454e-08,0.12450339276507835,3.2961457835298176,0.12494816759827256
29,0.15813991239159642,2.5469443567332127e-08,0.12619679239196036,3.2992899677484577,0.12383521426743355
30,0.1498101146240433,2.5696956394769702e-08,0.12515634041451504,3.294653261540284,0.12462092962160153
31,0.14776055519536593,2.607164427872252e-08,0.1254645122019966,3.2803499030211807,0.12589393544295738
32,0.15376337576939603,2.513471948919495e-08,0.12303662329261823,3.292619031072862,0.12618258039463492
33,0.14481720910061494,2.5915162555046836e-08,0.12370818628110375,3.2864893952561047,0.12451776442040574
34,0.1425695448107941,2.6434151838994663e-08,0.12806899229956148,3.2848586479775346,0.12482916466806175
35,0.14614028815649885,2.599674699071711e-08,0.1271647391885099,3.284342065066609,0.12377598603197743
36,0.15376042166554643,2.5150554820506795e-08,0.12693162135018166,3.277992731978121,0.12332018572934784
37,0.14461277682477308,2.5304038049577598e-08,0.12686659773866846,3.286409766028805,0.12350054551097041
38,0.13789527481560632,2.587279475255035e-08,0.124033222708267,3.2893665091466926,0.12159343961023504
39,0.12983280981664289,2.7163051563763897e-08,0.12493913508220542,3.2768159513337585,0.12479643500649992
40,0.1271184177815245,2.6861260495953237e-08,0.12230506939670348,3.292005023009776,0.12379884448730161
41,0.1281744445716898,2.708866417064437e-08,0.12391665017202277,3.2875902952632154,0.1230435378618066
42,0.12520935737771516,2.740505659303313e-08,0.12345784625520437,3.2747169061020953,0.12422281126985699
43,0.1220670959940125,2.7823878357247354e-08,0.12086397462789641,3.2848203898825807,0.12381638304772838
44,0.11150519776564136,2.8413476703390725e-08,0.12016365652729949,3.286633097514651,0.12345660151768617
45,0.10515823178396816,2.9218163387719815e-08,0.12143062528529594,3.284667628438531,0.12246603593559253
46,0.09721725566383593,2.9856275156967306e-08,0.1202624472127135,3.288478254333697,0.12103206151817913
47,0.09594010818759531,3.007563338892757e-08,0.12128753773915064,3.2797316789850095,0.12228135788556378
48,0.0883688796358225,3.061009272101997e-08,0.12202432104311936,3.2870335995424114,0.1224953081320943
49,0.08634677900428996,3.033649100740872e-08,0.12248638783735205,3.282693160780815,0.12116152656160839
50,0.08950887886957352,2.996038831932816e-08,0.12098995608630526,3.2846466881338996,0.12114976811177539
51,0.08600794144860144,3.0706816444110636e-08,0.1213505526105475,3.281189443896888,0.12172098205242922
52,0.08394837629225932,3.107385119024045e-08,0.12161607421195397,3.278141321748091,0.12159019820181506
53,0.07765145979251513,3.175400995468151e-08,0.12159384728404272,3.288720119237814,0.12183902919276174
54,0.07466361146753052,3.1692061547924934e-08,0.11948447590176595,3.2935599416337853,0.12148513949030977
55,0.07036676617139452,3.206610300492439e-08,0.11780352602918631,3.284714509823924,0.12190627602272917
56,0.06485357049413991,3.2678956304848326e-08,0.1171251118300571,3.2895331209640055,0.12177580963648572
57,0.060492909870620865,3.324084649687557e-08,0.11972672561238598,3.28880984760864,0.12206867788362599
58,0.061673708115652405,3.290598220257998e-08,0.11794628436501278,3.2872151609221114,0.1221107625106179
59,0.05960300564347576,3.283491971781907e-08,0.11764855557910464,3.292632682016742,0.12152333976520309
