symbol_index,p0,p1,decoded_bit
0,1.0914695919107085,0.8613306474812745,0
1,0.07174825857575587,2.1640366766467243,1
2,2.1699707824990835,3.9944356461985717,1
3,1.6258741177378822,1217761.9226588858,1
4,408773.4573469341,591.1798473671846,0
5,278.6700598492123,1094890.3731458192,1
6,391378.3637386777,348.76326872604994,0
7,176.72356817340997,1081093.543536971,1
8,396145.7426645517,446.03594708568767,0
9,113.69973531453087,1076897.6865675612,1
10,401400.21764944843,530.351619666004,0
11,161.33707502577664,1079918.7657764414,1
12,408967.09455825295,490.67954487182953,0
13,170.48836844260248,1080582.7293986757,1
14,409875.5357631763,400.34458198702134,0
15,136.59581732931,1084136.7770092725,1
16,409298.64423387655,403.83903103913315,0
17,156.51811037569945,1066156.0667649154,1
18,414709.8188753964,346.41876604865683,0
19,150.40978617916002,1028430.6557841909,1
20,5.44819027864507,977280.9693551525,1
21,428331.4382042557,659.9320201898591,0
22,404424.419990239,116.16272525340572,0
23,278.9278947216112,1002395.0955914016,1
24,30.12647027669785,949726.0548657274,1
25,381480.0165905436,856.4899274787598,0
26,169.91743556794503,997889.9904563637,1
27,382116.2470483827,236.53929346429874,0
28,138.84370551792972,966072.9589113838,1
29,364418.0119949766,305.51246730189314,0
30,93.26065145772284,934076.8301224334,1
31,11.007912889430965,887034.6606256337,1
32,27.203231837802594,869246.6500995795,1
33,342052.4361470254,599.5545322951859,0
34,185.16592327873235,890163.4042806383,1
35,9.071627162262365,857627.0431143518,1
36,331983.893268644,611.1707912801811,0
37,195.09111974391112,874676.2702531193,1
38,339963.9376394774,132.2643111486956,0
39,121.59846469818271,865282.8231662535,1
40,11.746629326036336,840151.6168319269,1
41,10.966330001534448,819646.2963612969,1
42,327132.4057100512,555.1345558863319,0
43,208.16231548429988,858107.8839106802,1
44,326150.11876193486,183.8451975646494,0
45,112.46392300078818,828302.9376549631,1
46,15.966436158142159,792823.0353258115,1
47,22.726016158445326,785975.2322834193,1
48,2.13748627286201,785169.8785513334,1
49,0.5651894333248844,786298.3035964237,1
50,1.2548518402674567,785061.5402587806,1
51,0.22589918871815529,778609.2504564113,1
52,293887.5977252318,353.6296921246812,0
53,210.98799208344383,800353.8176438364,1
54,297973.512866452,116.1179899738345,0
55,112.10633216447827,793276.1376339971,1
56,301676.6144661703,255.39256973616523,0
57,96.546065830934,791822.2025235223,1
58,301992.69372374564,221.67454104567395,0
59,302122.8362378132,27.09641641848986,0
60,304246.2122838408,17.82742942203956,0
61,304630.34800302604,18.868831696166396,0
62,117.38250526625191,780222.1528548878,1
63,298030.483623716,435.2892592306123,0
64,297500.69301890593,52.63646840332736,0
65,298780.08642210107,36.399986840374645,0
66,299610.95874170976,16.036091949512013,0
67,299705.6542815516,0.48070568558735155,0
68,297414.00837698777,0.7893326841199647,0
69,135.6502531586877,767499.0525140595,1
70,284618.5302039731,387.40428056137415,0
71,280882.21749781544,44.49956758617138,0
72,288422.85773827025,18.64465792874143,0
73,156.89614110554248,770738.9314098712,1
74,37.931246662418516,733100.2894936354,1
75,15.55985675737223,734775.4148996519,1
76,292055.51770806336,398.0056804242703,0
77,194.77925562676492,776110.3365159312,1
78,301358.01624357235,130.18484098971987,0
79,301972.26103360136,14.148312364951394,0
80,301795.08790776465,18.469868043407732,0
81,166.23661074347763,758743.8044536293,1
82,290265.53386943793,370.32888962821823,0
83,290009.2824997745,55.363892118021695,0
84,218.80901295536242,757754.7175035332,1
85,24.902671932129635,725242.1870454442,1
86,21.562449090843117,716931.6382710605,1
87,289311.6474211097,496.64730361550767,0
88,292811.9310062633,74.12160501634386,0
89,237.01670234440596,759057.651785087,1
90,31.984168798131854,719989.028791619,1
91,292064.8427464421,625.4471935847703,0
92,295109.4358282813,50.896042369222926,0
93,234.35560570935127,750545.8593866976,1
94,293085.99129932374,225.8119453636382,0
95,296432.8001450301,37.02247458084835,0
96,301481.12368476694,20.948026210387084,0
97,301815.89240085124,9.703009672546942,0
98,302099.1961489818,1.4549833042281282,0
99,303027.42122410645,0.07383672586017337,0
100,303346.32111127255,0.2382068979629013,0
101,137.57785448210538,730724.6656922406,1
102,35.420454315655114,703636.1301487242,1
103,294388.00419980765,580.4998180506668,0
104,295264.6507018544,42.98998164769063,0
105,201.80406517969868,740604.9689072422,1
106,26.509394786985975,705844.5234272918,1
107,10.847860250413845,695338.1001831897,1
108,1.8052461111897629,702399.2019178574,1
109,288345.51753021684,350.5283621307541,0
110,185.37167517350866,737530.8494259345,1
111,11.226147194575244,710089.6910406704,1
112,20.332481775575026,699510.2092116335,1
113,0.38587868325813046,703074.2976347706,1
114,0.1396201853420313,707670.987320139,1
115,288133.96713700844,310.5136745072015,0
116,218.1115204962725,733902.3290606241,1
117,292542.1010938558,154.54030634871253,0
118,120.18167221112688,724117.1168798377,1
119,292138.8355457335,270.9938969545672,0
120,294174.0922565417,23.31376404226194,0
121,297902.99275514926,19.386883833942484,0
122,299427.4070156763,9.435864670410208,0
123,300108.70568687376,1.8943397167080689,0
124,124.78311994545784,714050.0213214966,1
125,45.77483602905727,688147.834454445,1
126,292289.5990930699,607.8516340872177,0
127,146.2801736535424,721333.260776249,1
128,293152.9152237441,143.2315561464058,0
129,131.59826024317715,715796.4653289986,1
130,20.698942184252672,691983.5705232993,1
131,282942.9587575177,435.97372608632855,0
132,283313.3011511121,48.25225150687297,0
133,253.31752767430953,717941.9267443494,1
134,281928.0263890237,266.2855013030655,0
135,280067.2476377425,20.477203790664966,0
136,281927.3598730234,29.760937325832575,0
137,142.2750119483227,707457.3246587834,1
138,279696.9144124081,395.63254861491583,0
139,278749.38090340816,29.230468181285335,0
140,281637.36745615635,17.334221083343603,0
141,147.51156666562173,704822.5541492911,1
142,281898.44535604166,267.8771923702303,0
143,283723.5146007653,47.68869116796819,0
144,286155.8013708175,18.283391301866548,0
145,287752.8542407569,7.832751679989029,0
146,288093.9026491111,0.4296832479434639,0
147,288173.07734057104,0.4078584754294119,0
148,146.01182712712995,694787.3041169241,1
149,284364.27172163,390.38220544064376,0
150,73.09813305126404,704818.9374791915,1
151,3.438179929620384,723466.3501896604,1
152,9.630816580315527,771333.1527998229,1
153,122634.66218968475,356.85387302782794,0
154,297144.12331979885,37.51324957674404,0
155,764339.9108905747,16.743525122167163,0
156,898.2524307037413,955024.2539671415,1
157,913204.9322777712,329.31136728193746,0
158,763190.4144078236,144.89444136915435,0
159,1242.2297200643509,1586031.9252813146,1
160,956267.1158553651,214.75158423502614,0
161,887878.6025445269,170.907872992362,0
162,908750.6114310483,34.09653763585494,0
163,959112.7386461997,1.4717998700154484,0
164,965870.3755831446,8.966085544544967,0
165,963115.1025224779,6.1878997845839665,0
166,1434.2866940913157,2723024.9103119643,1
167,25.81729378265753,2673133.4281209763,1
168,7.278178471782063,2483992.5359245935,1
169,1060907.8345885025,400.5585855493322,0
170,1044695.952060911,262.185393332574,0
171,1563.0907004500948,2115847.09787753,1
172,2.830606443499802,2133967.055985669,1
173,32.275938582515366,1845405.971448625,1
174,0.18207555478731757,1565483.5805750361,1
175,1.3489675910571244,1225736.208943631,1
176,0.7702105725267072,1021363.6400107006,1
177,1185040.457606561,402.7904609198412,0
178,1171627.7396065043,135.15834846514662,0
179,676.0616360432634,947523.3822719805,1
180,1238790.6604396913,828.5412974273165,0
181,1270374.2531265859,98.67140007868036,0
182,1260632.4027540216,5.175176237814727,0
183,1300041.7183977028,41.30692792932188,0
184,727.9396718742548,677788.5960031088,1
185,1285575.6281209334,1173.9280556152737,0
186,804.702453976686,602057.849647305,1
187,1222084.6387607541,889.4980741885495,0
188,776.8708546624473,303557.4852266785,1
189,7.636855632080254,282.6603881358987,1
190,1.9000166116645578,20.00847196492962,1
191,0.4306237787781744,19.024486798182217,1
192,1.710607297084243,5.988594298600908,1
193,0.2014493797274743,0.2382418501527273,1
194,0.03447870334481167,0.01776135469834463,0
195,0.0027127241047314177,0.013304543680996735,1
196,0.008832965745644954,0.0024937501215528688,0
197,0.007164373257625131,0.0053997003900750394,0
198,0.00440146239912911,0.009250227815581685,1
199,0.0018099472650008651,0.008634516542747911,1
200,0.08786876672614982,0.026464311160740703,0
201,306372.5572400932,0.644313157546251,0
202,810336.6617120955,0.7512323200434492,0
203,822771.4378441751,3.324129510778385,0
204,507.49524859935025,367015.0068915172,1
205,0.3267568061286192,362867.0653883327,1
206,826831.2211743306,935.3118316939433,0
207,555.4921850942306,364959.5098765606,1
