t,alpha,v,a
0,0.5000615076678742,0.05,1.0
1,0.5149987845432976,0.09871250303864176,0.9742500607728352
2,0.5012918917751867,0.14623831416913655,0.9505162226098954
3,0.456762299837323,0.19289850673392517,0.9332038512957722
4,0.4340287605787369,0.23871233174416445,0.9162765002047853
5,0.3844464328289138,0.28412372652359863,0.9082278955886837
6,0.3874536129587857,0.32861948830515453,0.8899152356311177
7,0.4544643752365124,0.3711521957829973,0.8506541495568556
8,0.4298540493089459,0.4131751320696359,0.8404587257327719
9,0.39883030431794886,0.45493579388663885,0.8352132363400584
10,0.4233224068272088,0.4953065681256419,0.8074154847800611
11,0.4411667572352118,0.5343809285007773,0.7814872075027091
12,0.4464374696851067,0.5724525450223841,0.7614323304321351
13,0.3999140674496965,0.6110059537372925,0.7710681742981679
14,0.3984514763265328,0.6488331425217462,0.7565437756890746
15,0.4332166360494472,0.6847788769537131,0.7189146886393376
16,0.3660059086851931,0.7222472211983196,0.7493668848921302
17,0.34312512063318223,0.759856162953287,0.7521788350993459
18,0.24806398364314003,0.8004315156143877,0.8115070532220167
19,0.18358709665389122,0.8430840707132918,0.8530511019780808
20,0.0915003447643046,0.8892269465565139,0.9228575168644404
21,0.07974578821057055,0.9356813413689525,0.9290878962487719
22,0.05,0.9833421380155302,0.9532159329315524
23,0.06356321794108508,1.0302169184840635,0.9374956093706663
24,0.07140077227229634,1.076539004304676,0.9264417164122525
25,0.06205422504079862,1.12319881462276,0.9331962063616803
26,0.05,1.1703908175862032,0.943840059268862
27,0.05,1.2174648405422377,0.9414804591206898
28,0.05,1.264421178440882,0.9391267579728881
29,0.055665449300165384,1.3109019497907544,0.9296154269974437
30,0.05,1.3576246949162776,0.9344549025104623
31,0.05,1.4042306331789869,0.9321187652541861
32,0.05,1.4507200565960394,0.9297884683410507
33,0.05,1.4970932564545494,0.927463997170198
34,0.10304493116930394,1.53937986287628,0.8457321284346119
35,0.06266819740270911,1.5845563548200556,0.903529838875514
36,0.06104211215543308,1.6297201214836792,0.9032753332724699
37,0.10526160552459178,1.6711427736565239,0.8284530434568952
38,0.07608158388742668,1.7147856142004332,0.8728568108781842
39,0.0704964864082187,1.7587412961632087,0.8791136392555102
40,0.07601969357069274,1.8020563474429863,0.8663010255955499
41,0.07920878228344584,1.8449194129986306,0.8572613111128868
42,0.05,1.890307114466134,0.9077540293500684
43,0.05380701151885041,1.9352215256320218,0.8982882233177558
44,0.12174818260592729,1.9734410404477434,0.7643902963144314
45,0.05,2.018507437846624,0.9013279479776128
46,0.09296913440107991,2.059124493382687,0.8123411107212577
47,0.09893683568590897,2.098938330299755,0.7962767383413666
48,0.0668633159805479,2.141921231459629,0.8596580231974839
49,0.16688414329766904,2.174048596973468,0.6425473102767715
50,0.20499712890190463,2.201764910949829,0.554326279527225
51,0.14503268379664347,2.235798517243613,0.6806721258756685
52,0.14875849523521664,2.2691688160898984,0.6674059769257116
53,0.1775929744187259,2.2990193941145174,0.5970115604923761
54,0.16815386815118843,2.3296899439107697,0.6134109959250423
55,0.20229938151094873,2.3561252021724983,0.5287051652345744
56,0.19897351550347794,2.382684876450368,0.5311934855573953
57,0.23233589354519435,2.405005715460032,0.4464167801932827
58,0.30426202312800193,2.4184181202290183,0.26824809537972283
59,0.2704789105777193,2.4357115653049703,0.3458689015190394
60,0.28063584109719975,2.4515341671149935,0.3164520362004627
61,0.257470462270279,2.4699742853510696,0.3688023647215193
62,0.2638338828315705,2.4873911400411544,0.34833709380169386
63,0.2044741564390635,2.5119607797864587,0.49139279490608445
64,0.17550907661392984,2.5399171839389223,0.5591280830492715
65,0.165699277973705,2.568874061764338,0.5791375565083146
66,0.2106374715787254,2.5918190049056276,0.4588988628257894
67,0.26789857195143196,2.6071017743970875,0.30565538982920093
68,0.20172218232721922,2.6308062614230603,0.47408974051945396
69,0.16199006402786675,2.6594980376864186,0.5738355252671656
70,0.19433523515653783,2.6836563288588113,0.48316582344785897
71,0.09471424594781311,2.7209473045802643,0.7458195144290614
72,0.07155575270019476,2.761212332958424,0.8053005675631931
73,0.06669140641669032,2.8020048762634184,0.8158508660998921
74,0.1295421552810313,2.833855988724462,0.6370222492208774
75,0.1640123503095691,2.8606166196669847,0.5352126188504532
76,0.1476516792984592,2.889497877280839,0.5776251522770879
77,0.12922288459346126,2.9208284147443933,0.6266107492710868
78,0.11671311456756502,2.95378346567428,0.6591010185977384
79,0.19288958459037303,2.975295762391089,0.43024593433617575
80,0.17148833746172967,2.99978433620362,0.4897714762506227
81,0.1563043180434932,3.026340373956227,0.5311207550521402
82,0.17393377140775648,3.0500212342159387,0.47361720519423334
83,0.16789524915343373,3.074417030463841,0.4879159249580515
84,0.1580310377551476,3.100124364773026,0.5141466861837
85,0.10232768059759478,3.1342629379824603,0.6827714641886844
86,0.10175160719566738,3.168317123416784,0.6810837086864703
87,0.07957254604694641,3.2057115704070633,0.7478889398055892
88,0.13787893485645755,3.233611565567826,0.5579999032152523
89,0.17053335999151575,3.256039633308641,0.4485613548162931
90,0.16932617934101915,3.2784729957640866,0.44866724910891487
91,0.20274523050438634,3.295238257602657,0.3353052367714042
92,0.18575175291872886,3.3146334434709295,0.3879037173654487
93,0.2383580708400762,3.325129961814543,0.2099303668722704
94,0.23808809280649487,3.3355462692674354,0.2083261490578423
95,0.26725721051551554,3.340973829693943,0.10855120853015054
96,0.20271254824934118,3.357110963761362,0.32274268134838047
97,0.22004655069326268,3.3701749293678507,0.2612793121297776
98,0.13563634482493558,3.397319018925846,0.5428817911599093
