t,kappa,ang_err,bmag,leakage,spread
0.0,0.16310052183244042,0.7855210070160936,0.0009941163848078826,0.0004656058618329552,2.8320928979279847
0.01,0.0,0.7855216091505239,0.0009899578642759022,0.0004772022168229842,2.8363513710204655
0.02,0.0,0.7855223243292837,0.0009858196204172167,0.0004889881127971122,2.8406058209400777
0.03,0.0,0.785523148009514,0.0009817025225928705,0.0005009651761583852,2.844856265105746
0.04,0.0,0.7855240805065913,0.00097760645016341,0.0005131350338124508,2.849102720817919
0.05,0.0,0.7855251221344743,0.000973531283218524,0.0005254993130956464,2.8533452052596577
0.06,0.0,0.7855262732056891,0.0009694769025724976,0.0005380596417033962,2.8575837354977094
0.07,0.0,0.7855275340313206,0.0009654431897596914,0.0005508176476189213,2.8618183284835648
0.08,0.0,0.7855289049209957,0.000961430027030052,0.0005637749590422674,2.8660490010545123
0.09,0.0,0.7855303861828737,0.0009574372973446491,0.0005769332043196501,2.870275769934673
0.1,0.0,0.785531978123633,0.0009534648843712427,0.0005902940118731206,2.874498651736027
0.11,0.0,0.7855336810484594,0.0009495126724798774,0.000603859010130555,2.878717662959428
0.12,0.0,0.785535495261033,0.0009455805467385058,0.0006176298274559672,2.882932819995607
0.13,0.0,0.7855374210635166,0.0009416683929086392,0.0006316080920801535,2.88714413912616
0.14,0.0,0.7855394587565439,0.0009377760974410255,0.0006457954320316626,2.8913516365245373
0.15,0.0,0.7855416086392077,0.0009339035474713558,0.0006601934750680996,2.8955553282570006
0.16,0.0,0.7855438710090468,0.0009300506308159978,0.0006748038486077646,2.8997552302835947
0.17,0.0,0.7855462461620348,0.000926217235967756,0.0006896281796616268,2.9039513584590884
0.18,0.0,0.7855487343925702,0.0009224032520916591,0.0007046680947656358,2.9081437285339113
0.19,0.0,0.7855513359934609,0.0009186085690207748,0.000719925219913375,2.912332356155088
0.2,0.0,0.7855540512559163,0.0009148330772520512,0.0007354011804890559,2.916517256867147
0.21,0.0,0.7855568804695343,0.0009110766679421829,0.0007510976012008567,2.9206984461130356
0.22,0.0,0.7855598239222878,0.000907339232903506,0.0007670161060146065,2.9248759392350094
0.23,0.0,0.7855628819005189,0.0009036206645999178,0.0007831583180878172,2.9290497514755276
0.24,0.0,0.7855660546889216,0.0008999208561428222,0.0007995258597040655,2.9332198979781237
0.25,0.0,0.7855693425705339,0.0008962397012871018,0.000816120352207725,2.9373863937882763
0.26,0.0,0.7855727458267259,0.0008925770944271152,0.0008329434159390513,2.941549253854268
0.27,0.0,0.7855762647371898,0.0008889329305927196,0.0008499966701696226,2.9457084930280346
0.28,0.0,0.7855798995799268,0.0008853071054453185,0.0008672817330381347,2.9498641260660037
0.29,0.0,0.7855836506312381,0.0008816995152739359,0.0008848002214865546,2.9540161676299275
0.3,0.0,0.7855875181657144,0.0008781100569913133,0.0009025537511966331,2.958164632287702
0.31,0.0,0.785591502456223,0.0008745386281300335,0.0009205439365267775,2.9623095345141848
0.32,0.0,0.7855956037739,0.000870985126838667,0.0009387723904492877,2.9664508886919934
0.33,0.0,0.7855998223881375,0.0008674494518779461,0.0009572407244879521,2.9705887091123038
0.34,0.0,0.7856041585665747,0.0008639315026169592,0.000975950548656014,2.9747230099756403
0.35000000000000003,0.0,0.7856086125750874,0.0008604311790293723,0.000994903471394498,2.978853805392649
0.36,0.0,0.7856131846777767,0.0008569483816896736,0.0010141010995109068,2.9829811093848715
0.37,0.0,0.7856178751369609,0.0008534830117694416,0.0010335450381182881,2.987104935885507
0.38,0.0,0.7856226842131626,0.0008500349710336377,0.0010532368905746678,2.991225298740164
0.39,0.0,0.7856276121651016,0.000846604161836921,0.0010731782584228544,2.9953422117076105
0.4,0.0,0.7856326592496838,0.0008431904871199884,0.0010933707413306195,2.999455688460506
0.41000000000000003,0.0,0.7856378257219916,0.0008397938504059357,0.0011138159370312458,3.003565742586139
0.42,0.0,0.7856431118352729,0.000836414155796644,0.001134515441264454,3.007672387587144
0.43,0.0,0.7856485178409351,0.0008330513079691873,0.0011554708477177016,3.0117756368822204
0.44,0.0,0.7856540439885311,0.0008297052121722643,0.0011766837479678586,3.0158755038068383
0.45,0.0,0.7856596905257534,0.0008263757742226511,0.0011981557314232612,3.0199720016139358
0.46,0.0,0.7856654576984239,0.000823062900501678,0.0012198883852661438,3.0240651434746177
0.47000000000000003,0.0,0.7856713457504831,0.0008197664979517288,0.0012418832943954475,3.0281549424788383
0.48,0.0,0.7856773549239842,0.0008164864740727601,0.0012641420413700092,3.0322414116360763
0.49,0.0,0.7856834854590815,0.0008132227369188447,0.0012866662063521334,3.0363245638760126
0.5,0.0,0.7856897375940219,0.0008099751950947375,0.001309457367051541,3.0404044120491887
0.51,0.0,0.7856961115651369,0.0008067437577524599,0.0013325170986697062,3.0444809689276697
0.52,0.0,0.7857026076068339,0.00080352833458791,0.0013558469738445661,3.048554247205689
0.53,0.0,0.7857092259515874,0.0008003288358374906,0.0013794485625956258,3.052624259500298
0.54,0.0,0.7857159668299296,0.0007971451722747614,0.0014033234322694365,3.0566910183519997
0.55,0.0,0.7857228304704447,0.0007939772552071106,0.0014274731474854662,3.06075453622538
0.56,0.0,0.7857298170997571,0.0007908249964724482,0.0014518992700823488,3.064814825509733
0.5700000000000001,0.0,0.7857369269425258,0.0007876883084359206,0.0014766033590645252,3.0688718985196783
0.58,0.0,0.7857441602214355,0.0007845671039866453,0.0015015869705492643,3.072925767495773
0.59,0.0,0.7857515171571889,0.0007814612965344667,0.0015268516577140756,3.076976444605117
