step,chi,peak,width,norm
0.0,0.004,0.998655932946888,4.300768434266859,3.2606922417497253
1.0,0.004,0.9884548413912815,4.36019902881931,3.237677218404006
2.0,0.004,0.9823364565238448,4.397185646001832,3.216643804806426
3.0,0.004,0.9732828552811531,4.4392275678129804,3.1957699445704075
4.0,0.004,0.9611976949211705,4.497441658000719,3.17660362477469
5.0,0.004,0.9515746332978332,4.561892497077851,3.1608690169253255
6.0,0.004,0.9440298944201643,4.5864153037254525,3.1409069582492344
7.0,0.004,0.9395512523678402,4.634056527332524,3.1213584386934268
8.0,0.004,0.9297764288048195,4.6738792258643675,3.103912305542524
9.0,0.004,0.9210455906308896,4.697228522060193,3.0840329930787247
10.0,0.004,0.9159812242910444,4.771248187965579,3.0653317385187018
11.0,0.004,0.9109638423391455,4.770843709273922,3.049380776792651
12.0,0.004,0.9024193347429554,4.771302643620049,3.030430975699249
13.0,0.004,0.894903849107541,4.773532451052914,3.0124285569712534
14.0,0.004,0.8921797152250649,4.815658222326177,2.9971527003502874
15.0,0.004,0.8857898227782244,4.857271098321796,2.9765169191865097
16.0,0.004,0.8808692003496699,4.897760207135115,2.9588006333660335
17.0,0.004,0.8765532674899907,5.00716319576203,2.9425660436003933
18.0,0.004,0.87057502685638,5.02429560458455,2.9263605953809018
19.0,0.004,0.8639504074232559,5.040881282069224,2.9109985138767698
20.0,0.004,0.8551798189782602,5.092784965174234,2.8940366787918657
21.0,0.004,0.8487659755562975,5.136021274475056,2.875518295250676
22.0,0.004,0.8419190291306371,5.185579707657722,2.8597396726732733
23.0,0.004,0.8389631181207339,5.238507973169179,2.8433673733501585
24.0,0.004,0.8302005385608762,5.232350667679206,2.830637529311683
25.0,0.004,0.8292750458635251,5.242978161262898,2.819510668627507
26.0,0.004,0.8220666057887798,5.239431935203478,2.804791242349711
27.0,0.004,0.8155929017448331,5.324962995262359,2.793105151433983
28.0,0.004,0.8113612461261221,5.390796224098994,2.7784558089275753
29.0,0.004,0.8080517303332243,5.397483438129166,2.765953225717071
30.0,0.004,0.8034837106794763,5.362668029815623,2.752517560359725
31.0,0.004,0.7978883013174902,5.350817432001947,2.738480939864025
32.0,0.004,0.7946829492445036,5.338744043466802,2.7270111633816696
33.0,0.004,0.7891496612176718,5.385057777489519,2.711587867846063
34.0,0.004,0.7821249493769673,5.320698881403158,2.6990143036462193
35.0,0.004,0.7774591708373519,5.374758424844618,2.68896219298084
36.0,0.004,0.7730747278653949,5.36567452783813,2.677897241273915
37.0,0.004,0.7672348906093995,5.396264063334538,2.6705962324071137
38.0,0.004,0.763434644321817,5.4343820943739365,2.6569076422148483
39.0,0.004,0.7623472022759403,5.426500597186711,2.6427733325845235
40.0,0.004,0.7610712979643846,5.408076692370757,2.6307983571001348
41.0,0.004,0.7569150537704618,5.483364520266818,2.617336647456309
42.0,0.004,0.7493990361741432,5.557386000830738,2.6061278191575172
43.0,0.004,0.7440052823777186,5.598644525833564,2.5918231606918294
