t,norm,width_fwhm,peak_a2,chi
0,3.260927258878079,10.0,0.999020482116366,0.0
1,3.2609272588780787,10.0,0.9990169680410461,0.0
2,3.2609272588780795,10.0,0.9990135279616743,0.0
3,3.260927258878079,10.0,0.9990101619349899,0.0
4,3.260927258878079,10.0,0.999006870016296,0.0
5,3.260927258878079,10.0,0.9990036522594504,0.0
6,3.260927258878079,10.0,0.9990005087168691,0.0
7,3.2609272588780787,10.0,0.9989974394395232,0.0
8,3.260927258878079,10.0,0.9989944444769399,0.0
9,3.2609272588780795,10.0,0.9989915238771976,0.0
10,3.260927258878079,10.0,0.9989886776869275,0.0
11,3.2609272588780795,10.0,0.9989859059513136,0.0
12,3.260927258878079,10.0,0.9989832087140889,0.0
13,3.2609272588780787,10.0,0.9989805860175354,0.0
14,3.260927258878079,10.0,0.9989780379024843,0.0
15,3.260927258878079,10.0,0.9989755644083138,0.0
16,3.2609272588780795,10.0,0.998973165572948,0.0
17,3.260927258878079,10.0,0.9989708414328557,0.0
18,3.260927258878079,10.0,0.9989685920230522,0.0
19,3.260927258878079,10.0,0.9989664173770949,0.0
20,3.260927258878079,10.0,0.9989643175270851,0.0
21,3.260927258878079,10.0,0.9989622925036656,0.0
22,3.260927258878079,10.0,0.9989603423360199,0.0
23,3.2609272588780795,10.0,0.9989584670518732,0.0
24,3.260927258878079,10.0,0.9989566666774894,0.0
25,3.2609272588780787,10.0,0.998954941237673,0.0
26,3.260927258878079,10.0,0.998953290755765,0.0
27,3.260927258878079,10.0,0.9989517152536456,0.0
28,3.260927258878079,10.0,0.998950214751732,0.0
29,3.260927258878079,10.0,0.9989487892689771,0.0
30,3.2609272588780787,10.0,0.9989474388228704,0.0
31,3.2609272588780795,10.0,0.9989461634294381,0.0
32,3.2609272588780787,10.0,0.9989449631032379,0.0
33,3.260927258878079,10.0,0.9989438378573664,0.0
34,3.260927258878079,10.0,0.9989427877034505,0.0
35,3.260927258878079,10.0,0.9989418126516533,0.0
36,3.26092725887808,10.0,0.998940912710669,0.0
37,3.260927258878079,10.0,0.998940087887725,0.0
38,3.2609272588780795,10.0,0.9989393381885832,0.0
39,3.260927258878079,10.0,0.9989386636175346,0.0
40,3.2609272588780795,10.0,0.9989380641774044,0.0
41,3.260927258878079,10.0,0.9989375398695476,0.0
42,3.260927258878079,10.0,0.9989370906938511,0.0
43,3.260927258878079,10.0,0.998936716648734,0.0
44,3.260927258878079,10.0,0.9989364177311443,0.0
45,3.2609272588780787,10.0,0.9989361939365621,0.0
46,3.260927258878079,10.0,0.9989360452589972,0.0
47,3.2609272588780795,10.0,0.9989359716909901,0.0
48,3.2609272588780795,10.0,0.9989359732236124,0.0
49,3.260927258878079,10.0,0.9989360498464639,0.0
50,3.260927258878079,10.0,0.9989362015476774,0.0
51,3.260927258878079,10.0,0.9989364283139139,0.0
52,3.260927258878079,10.0,0.9989367301303654,0.0
53,3.260927258878079,10.0,0.9989371069807543,0.0
54,3.260927258878079,10.0,0.9989375588473333,0.0
55,3.2609272588780787,10.0,0.9989380857108849,0.0
56,3.260927258878079,10.0,0.9989386875507242,0.0
57,3.260927258878079,10.0,0.9989393643446935,0.0
