step,chi,peak,width,norm
0.0,0.09,1.9854969435087464,2.8366612644332863,5.3252350565507856
1.0,0.09,2.4538480238835416,2.644843533887008,6.281375610617231
2.0,0.09,3.193140741804868,2.4181818493678664,7.77417758739994
3.0,0.09,4.202571937354234,2.2217564594902255,9.97334959119103
4.0,0.09,4.872325558850085,2.2021043222469805,12.159844088880936
5.0,0.09,4.9778320311428175,2.3462072481316167,13.46582258094958
6.0,0.09,4.98390584357821,2.518698222339728,14.302971605382066
7.0,0.09,4.984209089128061,2.656209483918233,14.822346360563891
8.0,0.09,4.9842176506628615,2.813086319566078,15.315928792635997
9.0,0.09,4.984222938034578,2.9603479572125475,15.831355692898121
10.0,0.09,4.984220792916115,3.0237701329759616,16.026823660634598
11.0,0.09,4.98422130133314,3.0794994719144295,16.15846409005956
12.0,0.09,4.984215654439297,3.1754181637626195,16.39314793562946
13.0,0.09,4.984221565542092,3.3320503571966102,16.818635096593425
14.0,0.09,4.984226638528797,3.471688593797197,17.24130871617649
15.0,0.09,4.984223237828183,3.510446917799566,17.355340653415098
16.0,0.09,4.984220024030858,3.5255857726918753,17.38779436976143
17.0,0.09,4.9842232366995285,3.5457321599147873,17.426414770359273
18.0,0.09,4.984225336975368,3.575082776418969,17.48686536900042
19.0,0.09,4.984227168562155,3.6244840694383127,17.592046113778576
20.0,0.09,4.984221539891196,3.7147892720105555,17.793506994205867
21.0,0.09,4.984212342137279,3.8689358160380736,18.16770669520422
22.0,0.09063357881109278,4.984218382761026,4.018165832158066,18.568882463663172
23.0,0.09270578299895658,4.984709475751072,4.059477362589152,18.684545785586074
24.0,0.09505047014545814,4.986224698188455,4.067497882216285,18.708208187133035
25.0,0.09764669147199449,4.987793344097035,4.074945107076084,18.72835357091196
26.0,0.10057661963482656,4.98932315429872,4.084773610006015,18.753207678620484
27.0,0.10402784688595199,4.990812704403656,4.100014204568796,18.78700031446833
28.0,0.10829900303787147,4.992297230243431,4.123869360361878,18.838054656768897
29.0,0.11402555673048222,4.993805379483465,4.166026813941502,18.927735603755437
30.0,0.12280247992797762,4.995365578902052,4.254061003399163,19.116975998798885
31.0,0.1380800825069395,4.997025887951546,4.441327826212133,19.544986976961095
32.0,0.15927940360409645,4.9986226314015205,4.612647161807371,19.977886586870323
33.0,0.18095875041258186,4.999525408992239,4.628537731233753,20.02018880515285
34.0,0.20270405535807534,4.999840211508719,4.6326044175168235,20.02990281247894
35.0,0.22462501235595703,4.99994622078222,4.639822842567287,20.043114596033444
36.0,0.24687967431850016,4.999982037464583,4.6515905528146995,20.06533301045386
37.0,0.25,4.999994100413219,4.677372297947315,20.112757197983708
38.0,0.25,4.999994952736632,4.745777792661865,20.24217641396703
39.0,0.25,4.999994952292024,4.96288284614154,20.68681796918052
40.0,0.25,4.999994952365446,5.191247795958769,21.207461361679734
41.0,0.25,4.99999495312173,5.198586335812776,21.223338440357708
42.0,0.25,4.999994952734894,5.201823100828053,21.228325538127873
43.0,0.25,4.999994951572823,5.205855875316528,21.235224125720084
44.0,0.25,4.999994952132349,5.211838478488805,21.245334578641437
45.0,0.25,4.999994950077284,5.2212884472485666,21.26191272261078
46.0,0.25,4.999994953088965,5.239193737351283,21.293143925850252
47.0,0.25,4.999994952087794,5.2809957584992615,21.36765494050502
48.0,0.25,4.999994952127712,5.4094935306006215,21.60739779223361
49.0,0.25,4.999994951141206,5.704040944874994,22.212228671525732
50.0,0.25,4.99999495302972,5.773917116776213,22.3659856579854
51.0,0.25,4.999994952938116,5.776013812212493,22.369421350403165
52.0,0.25,4.999994950295595,5.778830635000719,22.373879927244907
53.0,0.25,4.999994952730204,5.782283301006263,22.379961652873195
54.0,0.25,4.9999949516611935,5.787587243924162,22.38880960300345
55.0,0.25,4.9999949503719785,5.7961669658892045,22.40303189218085
56.0,0.25,4.999994951526041,5.811694903495371,22.429136102433215
57.0,0.25,4.999994951928314,5.846473774417454,22.488193617401517
58.0,0.25,4.999994952311082,5.9487104315188315,22.668866382767348
59.0,0.25,4.999994952800787,6.233709686644549,23.21392775426264
60.0,0.25,4.999994950658383,6.351380291926005,23.455544811845197
61.0,0.25,4.999994952575036,6.353441657412327,23.458801633419906
62.0,0.25,4.999994953047824,6.355881713118602,23.46252623238726
63.0,0.25,4.999994951906682,6.358937792154907,23.46758577828084
64.0,0.25,4.99999495199409,6.363420366698587,23.47473274342094
65.0,0.25,4.999994952336076,6.369961983523251,23.485640425335152
66.0,0.25,4.999994951491814,6.381310658554876,23.50435768079972
67.0,0.25,4.999994952128817,6.404337159076643,23.542638664813374
68.0,0.25,4.999994949824288,6.46566748758597,23.645404823443076
69.0,0.25,4.999994952792567,6.665539004125689,23.997277132752163
70.0,0.25,4.999994951505245,6.91475829209043,24.471088683025513
71.0,0.25,4.999994951885166,6.929199553434704,24.4994450706174
72.0,0.25,4.999994950421153,6.9312061740770154,24.502384167383806
73.0,0.25,4.999994954373478,6.933678317765788,24.506292390604706
74.0,0.25,4.999994950642538,6.937043493365206,24.511677914772733
75.0,0.25,4.999994951708614,6.941948964573928,24.519457862887197
76.0,0.25,4.999994952098701,6.949606597539473,24.53161788136366
77.0,0.25,4.99999495528976,6.963587250054349,24.553714849448742
78.0,0.25,4.999994952419475,6.994418689004077,24.602692496898456
79.0,0.25,4.999994952559003,7.083436399149706,24.747835807659698
80.0,0.25,4.999994952806601,7.350056149196557,25.210468972768435
81.0,0.25,4.999994951594581,7.504636707407374,25.496156062643017
82.0,0.25,4.999994952443031,7.506882438825394,25.500063270977158
