step,peak_series,chi_series,norm_series,symmetry_error_series
0,1.00018859533164,0.012,16.00301752530624,0.19934836854101262
1,1.0011486069427107,0.012,16.01837771108337,0.19876783857615854
2,1.0003413124800582,0.012,16.00546099968093,0.19826431709263137
3,1.0022961862165694,0.012,16.03673897946511,0.19793644138157016
4,1.001233005948344,0.012,16.019728095173505,0.19694481494025634
5,1.0002940253349086,0.012,16.004704405358538,0.19634521273406053
6,0.9968055088893452,0.012,15.948888142229523,0.19566757523488076
7,0.9949471842891308,0.012,15.919154948626092,0.19483589502846974
8,0.9941474701066906,0.012,15.90635952170705,0.194129004981559
9,0.9947842292598997,0.012,15.916547668158396,0.1938297589923918
10,0.994608639308926,0.012,15.913738228942815,0.1936276980335567
11,0.9936286387889767,0.012,15.898058220623627,0.1931211510545846
12,0.9950048695534507,0.012,15.920077912855211,0.19253735474391287
13,0.9939061046098936,0.012,15.902497673758297,0.19164883713103534
14,0.99323962572618,0.012,15.89183401161888,0.19110289566807634
15,0.9917475076859754,0.012,15.867960122975607,0.19042814299561484
16,0.9915359033957399,0.012,15.864574454331839,0.18997839667102057
17,0.9918858235982936,0.012,15.870173177572697,0.18947300848373255
18,0.9909318574662916,0.012,15.854909719460666,0.18882212439362472
19,0.9921377455417448,0.012,15.874203928667917,0.18865815373719094
20,0.9902750926833009,0.012,15.844401482932815,0.18850033086961265
21,0.9923259980131195,0.012,15.877215968209912,0.18812272428982277
22,0.9927480056651701,0.012,15.883968090642721,0.18741654744546185
23,0.9949589682717805,0.012,15.919343492348489,0.18739262494039685
24,0.9976780559812828,0.012,15.962848895700525,0.18717515606981716
25,0.998221789012533,0.012,15.971548624200528,0.1862006604801325
26,0.9982209759091115,0.012,15.971535614545784,0.1857856029606554
27,0.9962943044929872,0.012,15.940708871887795,0.18529213957871002
28,0.9969513288303936,0.012,15.951221261286298,0.18488895239589886
29,0.9951852124951176,0.012,15.922963399921882,0.18407844162428716
30,0.9945464484231689,0.012,15.912743174770702,0.1831155010519553
31,0.9971734969590675,0.012,15.95477595134508,0.18235472783342263
32,0.997676278863293,0.012,15.962820461812688,0.18166515606978045
33,1.0000591564612473,0.012,16.000946503379957,0.181449264365905
34,1.0010089901791626,0.012,16.0161438428666,0.180176211401711
35,1.0010837039729612,0.012,16.01733926356738,0.17976931725894396
36,1.0025860701136138,0.012,16.04137712181782,0.1789719451455317
37,1.0053105531272313,0.012,16.0849688500357,0.1779638158545277
38,1.0043007362691887,0.012,16.06881178030702,0.1776323308509619
39,1.0043601257602384,0.012,16.069762012163814,0.17762104862605546
40,1.0046285161339983,0.012,16.074056258143973,0.1768190903989978
41,1.0040468967729068,0.012,16.06475034836651,0.17587974656371202
42,1.0021170217639763,0.012,16.03387234822362,0.17545687001094248
43,1.0029817843107744,0.012,16.04770854897239,0.17523323765677482
44,1.001840035735659,0.012,16.029440571770543,0.17512796989250792
45,1.0014028820560184,0.012,16.022446112896294,0.1749882923761613
46,1.0007490737744595,0.012,16.011985180391353,0.1741556473884586
47,1.0011212798883418,0.012,16.01794047821347,0.17385308331391944
48,1.0013590940297832,0.012,16.02174550447653,0.17306542466668243
49,0.9993427794483699,0.012,15.989484471173919,0.1720329686022072
50,1.0000989725510026,0.012,16.00158356081604,0.17171788251219294
51,0.9998522040526462,0.012,15.997635264842339,0.1707835730547244
52,1.001162255008205,0.012,16.01859608013128,0.16978745487131003
53,1.0000888174240892,0.012,16.001421078785427,0.16936176022737207
54,0.9967133125662276,0.012,15.947413001059642,0.16886567110664197
55,0.9958516973801448,0.012,15.933627158082317,0.16828645501588532
56,0.9957518344894591,0.012,15.932029351831346,0.1677350893343985
57,0.9968071113407044,0.012,15.948913781451271,0.166895578409129
58,0.9989491209067479,0.012,15.983185934507967,0.16650140654581333
59,1.0002181878012104,0.012,16.003491004819367,0.16623886574014662
60,1.0013988501140252,0.012,16.022381601824403,0.1658800893443202
61,1.0015076243247634,0.012,16.024121989196214,0.16484005718902328
62,1.0013000815144362,0.012,16.02080130423098,0.16399720279697028
63,0.9991616785926655,0.012,15.986586857482648,0.16346273863424418
64,0.9983116208720882,0.012,15.972985933953412,0.16254179730284074
65,0.996752690903103,0.012,15.948043054449649,0.16201032242675342
66,0.9973014149468783,0.012,15.956822639150053,0.16179505966768348
67,0.9972894482747675,0.012,15.95663117239628,0.16149561159544734
68,0.9994017903356195,0.012,15.990428645369912,0.16122866128629224
69,0.9958558085680965,0.012,15.933692937089544,0.16098526640205327
70,0.9963789144121947,0.012,15.942062630595116,0.16050039780790928
71,0.9969477051212389,0.012,15.951163281939822,0.1600032249559905
72,0.9974368990247173,0.012,15.958990384395477,0.15928355096342892
73,0.9945929043103717,0.012,15.913486468965948,0.15863887654505668
74,0.9934051499533665,0.012,15.894482399253864,0.15835092556881805
75,0.9929937631995273,0.012,15.887900211192436,0.15776396817565017
76,0.9917424748475536,0.012,15.867879597560858,0.15699878143528073
77,0.9917524250880269,0.012,15.86803880140843,0.15594116888000167
78,0.9922306697566783,0.012,15.875690716106853,0.15529734720396735
79,0.9904777288389734,0.012,15.847643661423575,0.15396587734434802
80,0.9912787305346253,0.012,15.860459688554005,0.15326460213266502
81,0.9905124981040337,0.012,15.84819996966454,0.15258175574370914
82,0.9932685207716121,0.012,15.892296332345794,0.15195481545299125
83,0.9934206635475485,0.012,15.894730616760777,0.15089669359208863
84,0.9959133839573758,0.012,15.934614143318013,0.15055993998712192
85,0.9975272720908243,0.012,15.960436353453188,0.14996224180648543
86,0.9989104142761613,0.012,15.982566628418581,0.14946152585701375
87,0.9998337935258385,0.012,15.997340696413415,0.14880386796949127
88,0.9976235100851403,0.012,15.961976161362244,0.14850052427383223
89,0.9947289130469448,0.012,15.915662608751116,0.1478165432724548
90,0.9944395239012903,0.012,15.911032382420645,0.14689168523015944
91,0.995377558176921,0.012,15.926040930830736,0.14621958631973658
92,0.9947375097465412,0.012,15.915800155944659,0.14576353883902987
93,0.99404000740354,0.012,15.90464011845664,0.14556823283148138
94,0.9945868579933893,0.012,15.913389727894229,0.14481393293543104
95,0.9916883238980329,0.012,15.867013182368526,0.1438096069763607
96,0.9933459986063219,0.012,15.89353597770115,0.1431824257574273
97,0.9929432692124017,0.012,15.887092307398428,0.1430634012417001
98,0.9910425825578899,0.012,15.856681320926238,0.1422757039017477
99,0.9903632605203112,0.012,15.84581216832498,0.1418396050862071
100,0.9893997589631381,0.012,15.83039614341021,0.1410435797316229
101,0.9870270156632321,0.012,15.792432250611714,0.14065038455282827
102,0.9882790355493161,0.012,15.812464568789057,0.13989547152860793
103,0.9885627246503154,0.012,15.817003594405046,0.13889567769178013
104,0.987892747926858,0.012,15.806283966829728,0.13869706297759687
105,0.9881362979598001,0.012,15.810180767356801,0.13877817202363563
106,0.986994659063297,0.012,15.791914545012752,0.1383402573486529
107,0.9867443179466384,0.012,15.787909087146215,0.13789800270270133
108,0.9867772446579264,0.012,15.788435914526822,0.1371176432695786
109,0.9855194546040726,0.012,15.768311273665162,0.13742545429129327
110,0.9854512228142929,0.012,15.767219565028686,0.1362084560842233
111,0.9845263328671507,0.012,15.752421325874412,0.1357998680023605
112,0.983827383318912,0.012,15.741238133102591,0.13559600186310608
113,0.9853843503632255,0.012,15.766149605811608,0.1349383002723588
114,0.9847242580928628,0.012,15.755588129485805,0.13402485997025052
115,0.9837247182276864,0.012,15.739595491642982,0.13297091704785083
116,0.9855850210948346,0.012,15.769360337517353,0.13283612728398864
117,0.9837483834206301,0.012,15.739974134730081,0.1318696223912827
118,0.9811492459697116,0.012,15.698387935515386,0.13096846612206303
119,0.9765519482560867,0.012,15.624831172097387,0.13001378243507344
120,0.9785746999265424,0.012,15.65719519882468,0.1292980806762341
121,0.979927279769065,0.012,15.67883647630504,0.1285393899570815
122,0.9826345206913168,0.012,15.72215233106107,0.12798715535198565
123,0.9821188233348203,0.012,15.713901173357124,0.12814088255959696
124,0.9816911234333872,0.012,15.707057974934195,0.1271625155546791
125,0.9820544077289972,0.012,15.712870523663955,0.12653886504311168
126,0.983713115013241,0.012,15.739409840211856,0.12565037486576233
127,0.9849739371309165,0.012,15.759582994094664,0.12529419940693462
128,0.9840219922004819,0.012,15.74435187520771,0.12473117260865142
129,0.9828285916909387,0.012,15.72525746705502,0.12482291503080362
130,0.9818290479949384,0.012,15.709264767919015,0.124074992697703
131,0.98029025510361,0.012,15.68464408165776,0.12335915631515104
132,0.9803464832217227,0.012,15.685543731547563,0.12297749305575445
133,0.9794956098579926,0.012,15.67192975772788,0.12230976086815297
134,0.9774385402958401,0.012,15.639016644733442,0.12144954020012312
135,0.9816467044502777,0.012,15.706347271204443,0.12114991315763156
136,0.9805351342630758,0.012,15.688562148209213,0.12013669398517307
137,0.9791359940741082,0.012,15.666175905185732,0.11951818672731895
138,0.9792569369762025,0.012,15.66811099161924,0.1186828785470397
139,0.9773955273840746,0.012,15.638328438145194,0.11849759209861423
140,0.9781476503206499,0.012,15.650362405130398,0.11777322169274385
141,0.9778887712628676,0.012,15.64622034020588,0.11700236255500614
142,0.9735576701486743,0.012,15.57692272237879,0.11642506110313393
143,0.9720391132226401,0.012,15.552625811562242,0.11551225581342409
144,0.9711709905409199,0.012,15.538735848654719,0.11511994632783748
145,0.9695103300595234,0.012,15.512165280952374,0.11407766188993525
146,0.9705707240830855,0.012,15.529131585329369,0.11369197256132711
147,0.96922944013192,0.012,15.50767104211072,0.113248691864515
