step,peak,width,gain,chi,norm
0,1.0000512985532592,6.000120368746959,0.02,0.00816,3.261292319798485
1,0.9995017976938145,6.000141767581636,0.020028544004434306,0.008160228352035474,3.25950614112967
2,0.9991138651945284,6.001441094398331,0.020208732094583237,0.008161669856756665,3.258593808388639
3,0.9982706903559186,6.002265338509559,0.020450526882077363,0.00816360421505662,3.2560673800058986
4,0.9982779272731653,6.002156875317998,0.02084274642493645,0.008166741971399492,3.256061565188821
5,0.9984772998935231,6.0030240499664504,0.020832620778600396,0.008166660966228804,3.2569471063225146
6,0.9988962548447641,6.0024892787373805,0.020810683373687466,0.0081664854669895,3.258168566899469
7,0.9994649897485763,6.002383553319077,0.020607449977919735,0.008164859599823358,3.259994938128034
8,0.9994313727272524,6.0020893666388675,0.020372907655174587,0.008162983261241397,3.2598054009988804
9,0.9990053216591185,6.001871601145536,0.02036674201835689,0.008162933936146855,3.2583566564134854
10,0.9991977377703752,6.002154377899796,0.020522644746055033,0.008164181157968442,3.2590610132049447
11,0.9990460525007707,6.002414665855701,0.02046453008516963,0.008163716240681356,3.2586369190655624
12,0.999372201545082,6.0027129164579325,0.020542556723405124,0.008164340453787241,3.259781718918354
13,0.9990510619367892,6.002463913913888,0.0204319804791627,0.008163455843833302,3.2586666267071784
14,0.9985362226044923,6.0021858275036895,0.02054383615287688,0.008164350689223016,3.256911896536108
15,0.9987889890432424,6.001302869792569,0.020731232791782392,0.008165849862334259,3.257496716223027
16,0.9981855937287473,6.000409777515008,0.020571262368874327,0.008164570098950994,3.2552865277226513
17,0.9982556373155331,6.000671766273467,0.020753081009501646,0.008166024648076012,3.2555860241891557
18,0.9985702469211918,5.999744615823881,0.020742529492017908,0.008165940235936142,3.256360456928424
19,0.9989639093166895,5.99987268671071,0.020588926843264525,0.008164711414746118,3.257678967763536
20,0.9990607910433792,5.999848304182031,0.020422923825943486,0.008163383390607548,3.257988284672837
21,0.9988835955443565,5.999202355439005,0.02038579663717961,0.008163086373097437,3.2572350885957024
22,0.9985722707060983,5.99994142389239,0.020499738086323764,0.008163997904690589,3.256420464981922
23,0.9987409936236418,6.000456873268855,0.020574996791401314,0.008164599974331211,3.2571105819599047
24,0.9993539720417118,6.000072560124565,0.020534060768466974,0.008164272486147737,3.259005266995297
25,0.9995304804655646,6.00046195728711,0.02026324852495292,0.008162105988199624,3.2596866503745305
