t,peak,symmetry_error,chi,norm
92,1.0209092716,0.0023543455,0.0120000000,4.6165078833
93,1.0213400285,0.0024099288,0.0120000000,4.6167037577
94,1.0214195817,0.0025635878,0.0120000000,4.6170411172
95,1.0209415113,0.0025432275,0.0120000000,4.6165094685
96,1.0207601512,0.0026329978,0.0120000000,4.6165346771
97,1.0213736865,0.0027729069,0.0120000000,4.6170752432
98,1.0208114787,0.0028005058,0.0120000000,4.6169473322
99,1.0211686673,0.0025582649,0.0120000000,4.6172530407
100,1.0208589566,0.0025368875,0.0120000000,4.6173605211
101,1.0212646253,0.0027496162,0.0120000000,4.6176046901
102,1.0212627079,0.0027244393,0.0120000000,4.6178068453
103,1.0213630389,0.0026702357,0.0120000000,4.6176223255
104,1.0213905995,0.0025178936,0.0120000000,4.6180058053
105,1.0218403565,0.0025638139,0.0120000000,4.6182994768
106,1.0215876903,0.0025785215,0.0120000000,4.6180281103
107,1.0213460216,0.0025613831,0.0120000000,4.6174263368
108,1.0214177448,0.0025418333,0.0120000000,4.6171210783
109,1.0216874505,0.0025518296,0.0120000000,4.6180245895
110,1.0215305745,0.0026241296,0.0120000000,4.6188064714
111,1.0221686142,0.0025723748,0.0120000000,4.6189187026
112,1.0228321046,0.0027642916,0.0120000000,4.6193037201
113,1.0231910048,0.0029121483,0.0120000000,4.6191015659
114,1.0237037341,0.0029343548,0.0120000000,4.6195034246
115,1.0238291776,0.0028817133,0.0120000000,4.6198165558
116,1.0240833416,0.0028362698,0.0120000000,4.6195965705
117,1.0237935892,0.0026428671,0.0120000000,4.6197482958
118,1.0239423868,0.0027547842,0.0120000000,4.6205303183
119,1.0240772996,0.0029456597,0.0120000000,4.6210783557
120,1.0241511421,0.0030462424,0.0120000000,4.6210215655
121,1.0239536564,0.0030393518,0.0120000000,4.6211972875
122,1.0242505542,0.0032615762,0.0120000000,4.6206683824
123,1.0241914697,0.0032180552,0.0120000000,4.6206657078
124,1.0250624764,0.0035110262,0.0120000000,4.6216030416
125,1.0254431734,0.0036305756,0.0120000000,4.6222992274
126,1.0257493695,0.0037585893,0.0120000000,4.6223234286
127,1.0252900699,0.0035858154,0.0120000000,4.6219585478
128,1.0253289367,0.0033555236,0.0120000000,4.6220134403
129,1.0251120509,0.0032609802,0.0120000000,4.6221550030
130,1.0255052797,0.0032622582,0.0120000000,4.6224717190
131,1.0262198800,0.0033360290,0.0120000000,4.6227646458
132,1.0265480212,0.0029967092,0.0120000000,4.6222557839
133,1.0268544077,0.0031945334,0.0120000000,4.6227599959
134,1.0272995791,0.0029050039,0.0120000000,4.6232919299
135,1.0272798669,0.0024470231,0.0120000000,4.6244454546
136,1.0277362332,0.0021461720,0.0120000000,4.6247014169
137,1.0281346185,0.0020447095,0.0120000000,4.6258288815
138,1.0288367098,0.0023144942,0.0120000000,4.6261450766
139,1.0289120017,0.0022522686,0.0120000000,4.6266088437
140,1.0292211635,0.0022909295,0.0120000000,4.6270115140
141,1.0290260067,0.0025208462,0.0120000000,4.6268877894
142,1.0292268798,0.0024403946,0.0120000000,4.6269537488
143,1.0296730601,0.0021926738,0.0120000000,4.6277021034
144,1.0297216911,0.0021228436,0.0120000000,4.6279201616
145,1.0295634767,0.0021945990,0.0120000000,4.6280686127
146,1.0300854595,0.0024153582,0.0120000000,4.6280655078
147,1.0299931848,0.0023846701,0.0120000000,4.6287982795
148,1.0302238466,0.0023988817,0.0120000000,4.6288653794
149,1.0300832886,0.0022178482,0.0120000000,4.6289479764
150,1.0300544103,0.0022039242,0.0120000000,4.6293120082
151,1.0301064243,0.0022298987,0.0120000000,4.6295758915
152,1.0304234381,0.0021447159,0.0120000000,4.6296236108
153,1.0311791158,0.0019649272,0.0120000000,4.6305050607
154,1.0312838436,0.0018399800,0.0120000000,4.6310323628
155,1.0319163621,0.0016403327,0.0120000000,4.6309105997
156,1.0322922559,0.0017681355,0.0120000000,4.6311980624
157,1.0320506534,0.0017425471,0.0120000000,4.6310652216
158,1.0323678423,0.0016100310,0.0120000000,4.6314988844
159,1.0327931303,0.0014929012,0.0120000000,4.6316832683
160,1.0333247065,0.0016854616,0.0120000000,4.6322111196
161,1.0333465161,0.0013740546,0.0120000000,4.6325894718
162,1.0341852215,0.0013458599,0.0120000000,4.6326802392
163,1.0337430092,0.0012913220,0.0120000000,4.6325974310
164,1.0335331801,0.0013486998,0.0120000000,4.6327326954
165,1.0332466174,0.0014942554,0.0120000000,4.6331061666
166,1.0336266791,0.0017493900,0.0120000000,4.6335422941
167,1.0341880258,0.0019368841,0.0120000000,4.6336479776
168,1.0344700401,0.0018996574,0.0120000000,4.6347809091
169,1.0346894823,0.0018394764,0.0120000000,4.6353363103
170,1.0350450321,0.0020993187,0.0120000000,4.6358950276
171,1.0347040021,0.0019794852,0.0120000000,4.6359965342
172,1.0354168509,0.0019064610,0.0120000000,4.6363919166
173,1.0357648290,0.0019475673,0.0120000000,4.6365165858
174,1.0354170530,0.0020230314,0.0120000000,4.6369025388
175,1.0352950471,0.0019611503,0.0120000000,4.6370299233
176,1.0349820661,0.0020172750,0.0120000000,4.6373523868
177,1.0348741271,0.0021030460,0.0120000000,4.6375547380
178,1.0357789188,0.0021310070,0.0120000000,4.6378431209
179,1.0356098687,0.0023649356,0.0120000000,4.6379859305
180,1.0357472273,0.0023118498,0.0120000000,4.6381299427
181,1.0351586091,0.0022121742,0.0120000000,4.6378322597
182,1.0354290187,0.0021305185,0.0120000000,4.6384291922
183,1.0358645932,0.0021320995,0.0120000000,4.6386261647
184,1.0362133005,0.0024241719,0.0120000000,4.6393519312
185,1.0369209980,0.0025539839,0.0120000000,4.6392599319
186,1.0371513561,0.0025089656,0.0120000000,4.6405993009
187,1.0371652244,0.0023160327,0.0120000000,4.6402502121
188,1.0377538539,0.0022451865,0.0120000000,4.6414018594
189,1.0384004828,0.0023074457,0.0120000000,4.6415527120
190,1.0395415376,0.0023046783,0.0120000000,4.6422922020
191,1.0397685752,0.0022946779,0.0120000000,4.6423239542
192,1.0394544818,0.0019950045,0.0120000000,4.6426079376
193,1.0395361741,0.0019285964,0.0120000000,4.6425614830
194,1.0402343588,0.0017919493,0.0120000000,4.6426449289
195,1.0399935657,0.0017060112,0.0120000000,4.6424756347
196,1.0402941961,0.0017013395,0.0120000000,4.6421406142
197,1.0403537468,0.0017567665,0.0120000000,4.6422976626
198,1.0404958431,0.0018830000,0.0120000000,4.6424069858
199,1.0414546234,0.0019019640,0.0120000000,4.6429179415
200,1.0417612723,0.0017433799,0.0120000000,4.6434806639
201,1.0423711816,0.0016339754,0.0120000000,4.6440405024
202,1.0424003976,0.0016516660,0.0120000000,4.6441881984
203,1.0429473033,0.0018895257,0.0120000000,4.6438504930
204,1.0434991407,0.0018854194,0.0120000000,4.6435912181
205,1.0438640917,0.0021311969,0.0120000000,4.6441433864
206,1.0440443797,0.0024045936,0.0120000000,4.6438311985
207,1.0442867184,0.0024358886,0.0120000000,4.6440482774
208,1.0453771227,0.0024800678,0.0120000000,4.6449461728
209,1.0454580358,0.0026653401,0.0120000000,4.6449392237
210,1.0456828398,0.0024635757,0.0120000000,4.6449257539
