t,gamma,leak,mass_total,mass_out
0.0,0.6,0.00011612202541749234,39.27271883351106,0.004560427654599118
0.01,0.6,0.00011528541705821955,39.268743467779586,0.00452711346803532
0.02,0.6,0.00011446521757332849,39.26476902838055,0.004494450329800184
0.03,0.6,0.00011366144136773587,39.26079551532389,0.004462438607515768
0.04,0.6,0.00011287386039141881,39.25682291909658,0.00443106914958087
0.05,0.6,0.00011210257571366045,39.252851243105866,0.004400345728457438
0.06,0.6,0.00011134770956247268,39.24888049158437,0.004370272945629248
0.07,0.6,0.00011060842934479901,39.244910631283126,0.004340817924703342
0.08,0.6,0.00010988522721310315,39.24094168095295,0.004311999792667755
0.09,0.6,0.00010917716693005572,39.236973603281456,0.0042837816169157585
0.1,0.6,0.0001084844554694536,39.23300640582423,0.004256171336365535
0.11,0.6,0.00010780615713241456,39.22904005129932,0.004229132055924267
0.12,0.6,0.00010714267803412677,39.225074555074706,0.004202679533919095
0.13,0.6,0.00010649357168031012,39.22110989906466,0.0041767960784174695
0.14,0.6,0.00010585818705166456,39.21714605716549,0.00415145598295198
0.15,0.6,0.00010523747021898363,39.21318306591415,0.0041266961850907995
0.16,0.6,0.00010463052334305442,39.20922088952341,0.0041024813015443605
0.17,0.6,0.00010403661353116683,39.20525949868449,0.00407878243085385
0.18,0.6,0.00010345603828655983,39.20129890449416,0.0040556110803463274
0.19,0.6,0.00010288895658521635,39.19733911261075,0.004032973322213513
0.2,0.6,0.0001023352865464398,39.19338011924597,0.004010865785226676
0.21,0.6,0.00010179478143815615,39.18942191414858,0.003989278638438544
0.22,0.6,0.00010126658872455175,39.18546446332709,0.0039681783137883835
0.23,0.6,0.0001007505574479477,39.181507760292114,0.00394755874850062
0.24,0.6,0.00010024692897712922,39.17755181392556,0.003927429254188496
0.25,0.6,9.975522366893874e-05,39.17359660485502,0.003907770891234192
0.26,0.6,9.927536376179998e-05,39.16964212945584,0.0038885804708213532
0.27,0.6,9.880718616451638e-05,39.16568838075926,0.0038698514630992158
0.28,0.6,9.835077842214042e-05,39.161735361612514,0.0038515871571765522
0.29,0.6,9.79062887054236e-05,39.15778307723273,0.0038337932150239963
0.3,0.6,9.747291035040588e-05,39.153831495442645,0.003816437907230277
0.31,0.6,9.7050822298065e-05,39.14988062266504,0.00379952810730082
0.32,0.6,9.664067551007027e-05,39.14593048379646,0.003783089165424439
0.33,0.6,9.624171818541626e-05,39.14198104880812,0.0037670915093183915
0.34,0.6,9.585341676715694e-05,39.138032296222775,0.0037515141211363857
0.35000000000000003,0.6,9.547571328297411e-05,39.134084223182256,0.0037363546048844055
0.36,0.6,9.510834818400123e-05,39.13013681893807,0.0037216026770632636
0.37,0.6,9.475125861571652e-05,39.12619008043973,0.0037072557549595216
0.38,0.6,9.440418947774404e-05,39.122243997113216,0.003693303735098105
0.39,0.6,9.406682646586732e-05,39.11829855606972,0.0036797342019138923
