t,norm,width_fwhm,peak_a2,chi
144,3.260927258878079,9.0,0.9993498347790786,0.0069902240254073955
145,3.260927258878079,9.0,0.9993581161749556,0.010036424478471317
146,3.260927258878079,9.0,0.9993664871199324,0.009038143038128086
147,3.260927258878079,9.0,0.9993749430660254,0.0077170962721505336
148,3.2609272588780795,9.0,0.9993834814404018,0.010826653089120435
149,3.260927258878079,9.0,0.9993921113875033,0.009117184004750244
150,3.2609272588780795,9.0,0.9994008252546209,0.005384230737209441
151,3.260927258878079,9.0,0.9994096167261842,0.0064108087666152735
152,3.260927258878079,9.0,0.9994184876276354,0.006362444560688553
153,3.260927258878079,9.0,0.9994274381252128,0.0071970786921863195
154,3.260927258878079,9.0,0.9994364696921798,0.006925072313565931
155,3.260927258878079,9.0,0.9994455817077542,0.00777011842668569
156,3.260927258878079,9.0,0.999454775835115,0.007067618773443499
157,3.260927258878079,9.0,0.9994640503321441,0.008824366277525744
158,3.2609272588780787,9.0,0.9994734092424911,0.010024648238932319
159,3.260927258878079,9.0,0.9994828553124973,0.010752550458466204
160,3.260927258878079,9.0,0.9994923897533415,0.0076238796985071125
161,3.260927258878079,9.0,0.9995020029963032,0.008768161030825389
162,3.2609272588780787,9.0,0.9995116998605396,0.007941441947301224
163,3.260927258878079,9.0,0.9995214777329124,0.01211675520052228
164,3.260927258878079,9.0,0.9995313494820808,0.01103807917388612
165,3.2609272588780787,9.0,0.9995413070364303,0.014021544799238806
166,3.2609272588780787,9.0,0.9995513634276231,0.014532118882584375
167,3.260927258878079,9.0,0.9995615153692196,0.01572870691953982
168,3.260927258878079,9.0,0.9995717671735423,0.015174519355728666
169,3.2609272588780787,9.0,0.9995821127879829,0.01764413290643054
170,3.2609272588780795,9.0,0.9995925664070541,0.0206336656549724
171,3.260927258878079,9.0,0.9996031384285549,0.020769938625961697
172,3.260927258878079,9.0,0.9996138175657706,0.01793910957530871
173,3.260927258878079,9.0,0.9996245855923073,0.01392744400571563
174,3.2609272588780795,9.0,0.999635433839516,0.013779946962811932
175,3.260927258878079,9.0,0.9996463733325974,0.012325729291472387
176,3.260927258878079,9.0,0.9996573983645536,0.01215372179426088
177,3.260927258878079,9.0,0.9996685109948324,0.014290953928277013
178,3.260927258878079,9.0,0.9996797201231729,0.016096112088627705
179,3.260927258878079,9.0,0.9996910298726265,0.014021403633097704
180,3.260927258878079,9.0,0.9997024254520823,0.014877304620249478
181,3.2609272588780787,9.0,0.9997139160371101,0.01448938434869713
182,3.260927258878079,9.0,0.9997254976096892,0.020295856183303228
183,3.2609272588780787,9.0,0.9997372029418214,0.022437952339300564
184,3.260927258878079,9.0,0.9997490267058895,0.020113557407470378
185,3.260927258878079,9.0,0.9997609427409109,0.0235066842876873
186,3.260927258878079,9.0,0.9997729855886115,0.019579649778946745
187,3.260927258878079,9.0,0.9997851113838832,0.020389066555959887
188,3.260927258878079,9.0,0.9997973440042305,0.019946629094980215
189,3.260927258878079,9.0,0.9998096769857848,0.02136665498290653
190,3.2609272588780795,9.0,0.9998221214654253,0.021678832002166613
191,3.260927258878079,9.0,0.9998346730514212,0.018970966720634783
192,3.260927258878079,9.0,0.9998473125270354,0.023151951463773027
193,3.2609272588780787,9.0,0.9998600797640549,0.021122925472265013
194,3.260927258878079,9.0,0.9998729408530225,0.020448077496583443
195,3.2609272588780795,9.0,0.9998859012793503,0.020005723049727572
196,3.260927258878079,9.0,0.9998989610877973,0.019214588460427735
197,3.260927258878079,9.0,0.999912117097924,0.018579855133905265
198,3.2609272588780795,9.0,0.9999253686040473,0.02169034312525279
199,3.260927258878079,9.0,0.9999387378789351,0.020599823688272036
200,3.260927258878079,9.0,0.9999522040075667,0.017048581083283637
201,3.260927258878079,9.0,0.9999657506625236,0.019633275073314634
202,3.2609272588780795,9.0,0.9999794063906245,0.020558166023874686
203,3.260927258878079,9.0,0.9999931674127074,0.024691589620986307
204,3.2609272588780787,9.0,1.0000070596059834,0.02766457777998081
205,3.2609272588780795,9.0,1.0000210867490098,0.02823673619047629
206,3.2609272588780787,9.0,1.0000352350607467,0.027077204631996397
207,3.2609272588780795,9.0,1.0000494900451924,0.025770291570488157
208,3.260927258878079,9.0,1.000063848298366,0.028014412799077407
209,3.260927258878079,9.0,1.000078337545881,0.028555325613827818
210,3.260927258878079,9.0,1.0000929478741634,0.028533291966207262
211,3.2609272588780787,9.0,1.0001076751256261,0.03217857802286865
212,3.260927258878079,9.0,1.0001225552633997,0.031851350165244464
213,3.2609272588780787,9.0,1.0001375565853103,0.032443252432980484
214,3.260927258878079,9.0,1.0001526878492941,0.030181500158861715
215,3.260927258878079,9.0,1.0001679209421177,0.0285733411901233
216,3.2609272588780787,9.0,1.0001832585572175,0.024935007239115525
217,3.260927258878079,9.0,1.0001986809472343,0.022252598132907277
218,3.260927258878079,9.0,1.000214191239187,0.023610809477243463
219,3.2609272588780795,9.0,1.000229813796263,0.023279122752815833
220,3.260927258878079,9.0,1.0002455388950033,0.021524828900194713
221,3.2609272588780795,9.0,1.0002613555582225,0.02302113412326871
222,3.2609272588780787,9.0,1.0002772830734334,0.02242518338642618
223,3.260927258878079,9.0,1.0002933094978665,0.024705036127337727
224,3.2609272588780787,9.0,1.0003094549565148,0.027871509035371195
225,3.260927258878079,9.0,1.0003257338475857,0.024979147992492134
226,3.260927258878079,9.0,1.0003421013312834,0.025783397226537788
227,3.260927258878079,9.0,1.0003585822074124,0.02787628830452134
228,3.260927258878079,9.0,1.000375189621303,0.025372895725341033
229,3.260927258878079,9.0,1.0003918882968779,0.023277766133505635
230,3.2609272588780795,9.0,1.0004086777444494,0.025433807039319602
231,3.260927258878079,9.0,1.000425586484587,0.02591704019945417
232,3.2609272588780787,9.0,1.0004426061711023,0.0246126770098717
233,3.260927258878079,9.0,1.00045972307453,0.025236209916585796
234,3.260927258878079,9.0,1.0004769497800667,0.02594918787530403
235,3.2609272588780787,9.0,1.0004942883579306,0.02376735113436801
236,3.260927258878079,9.0,1.0005117168654378,0.026089754723679956
237,3.260927258878079,9.0,1.0005292664151837,0.024736937750414665
238,3.260927258878079,9.0,1.0005469122328148,0.02312548626260385
239,3.2609272588780787,9.0,1.0005646498543819,0.02269355965205897
240,3.260927258878079,9.0,1.000582484760021,0.02637389980495278
241,3.260927258878079,9.0,1.0006004480096864,0.02760682187106052
242,3.2609272588780795,9.0,1.000618529274074,0.02658187861564746
243,3.260927258878079,9.0,1.0006367113832801,0.02578929420515413
244,3.260927258878079,9.0,1.0006549941707663,0.026366257986025276
245,3.2609272588780787,9.0,1.000673387246747,0.030141457169826566
246,3.2609272588780795,9.0,1.0006919213853158,0.0296460757451433
247,3.260927258878079,9.0,1.0007105654660533,0.03038400452285864
248,3.260927258878079,9.0,1.0007293302102709,0.02839066720263332
249,3.260927258878079,9.0,1.0007481909077047,0.027402513302027205
250,3.260927258878079,9.0,1.0007671530209048,0.030478086296877538
251,3.260927258878079,9.0,1.0007862519223074,0.026885306578395364
252,3.2609272588780795,9.0,1.0008054320948088,0.025732553319805805
253,3.260927258878079,9.0,1.000824708922533,0.02826964098213
254,3.2609272588780795,9.0,1.0008441115422817,0.027671085859931555
255,3.260927258878079,9.0,1.0008636179217374,0.03194489329375473
256,3.2609272588780787,9.0,1.0008832732784494,0.03229756502112296
257,3.260927258878079,9.0,1.0009030493938966,0.03000961259200488
258,3.260927258878079,9.0,1.0009229200380398,0.02989073810450957
259,3.2609272588780795,9.0,1.0009429019004827,0.03121938615095938
260,3.260927258878079,9.0,1.000963008874583,0.03232952717894006
261,3.260927258878079,9.0,1.00098324207199,0.031234504657064243
262,3.260927258878079,9.0,1.001003581032483,0.02932178917737766
263,3.260927258878079,9.0,1.001024015631096,0.030458418241058178
264,3.260927258878079,9.0,1.0010445711798124,0.02998035195418333
265,3.260927258878079,9.0,1.0010652343655733,0.030403701178115396
266,3.260927258878079,9.0,1.0010860127619663,0.03311778517105877
267,3.260927258878079,9.0,1.0011069310392398,0.03544575888135339
268,3.2609272588780795,9.0,1.0011279931938812,0.03292094524961207
269,3.260927258878079,9.0,1.0011491501572745,0.030629881059763085
270,3.2609272588780787,9.0,1.0011704004882256,0.031772576385776435
271,3.260927258878079,9.0,1.00119177404878,0.03417245171263266
272,3.2609272588780787,9.0,1.0012132874595028,0.031592371512610434
273,3.260927258878079,9.0,1.0012348926219239,0.030298855927069997
274,3.260927258878079,9.0,1.0012565980878954,0.029611239998953386
275,3.2609272588780795,9.0,1.0012784070360956,0.02844153359021875
276,3.260927258878079,9.0,1.0013003133917657,0.026156645384892922
277,3.260927258878079,9.0,1.0013223051422435,0.022594810442342707
278,3.260927258878079,9.0,1.001344369130944,0.024504027611046315
279,3.2609272588780787,9.0,1.0013665392033744,0.028136455011472477
280,3.260927258878079,9.0,1.0013888359633139,0.02674988408542907
281,3.2609272588780795,9.0,1.0014112245070395,0.02634410278334741
282,3.260927258878079,9.0,1.0014337102542281,0.02694324208878594
283,3.260927258878079,9.0,1.0014563006882422,0.02665802953425366
284,3.260927258878079,9.0,1.0014789893895415,0.02688589494999073
285,3.260927258878079,9.0,1.001501779932619,0.026448428423572593
286,3.260927258878079,9.0,1.0015246669226172,0.02781696611836083
287,3.260927258878079,9.0,1.001547664885653,0.027858817756510695
288,3.260927258878079,9.0,1.0015707652041863,0.028739054394563517
289,3.2609272588780787,9.0,1.001593975458132,0.03342158231666041
290,3.26092725887808,9.0,1.0016173367251338,0.028935375640406873
291,3.260927258878079,9.0,1.0016407670280127,0.029556669886321267
292,3.260927258878079,9.0,1.0016643070266655,0.031405874235283515
293,3.2609272588780787,9.0,1.0016879703886201,0.0291293561027838
294,3.2609272588780795,9.0,1.0017117206099124,0.03206135663653353
295,3.260927258878079,9.0,1.0017356036316925,0.03221251742383624
296,3.2609272588780795,9.0,1.0017595986100334,0.03072769006354249
297,3.2609272588780795,9.0,1.001783688947228,0.03222224407589574
298,3.260927258878079,9.0,1.00180790143751,0.033604008129973995
299,3.2609272588780795,9.0,1.0018322389354866,0.034455108258198676
300,3.2609272588780795,9.0,1.0018566991501006,0.03220013691132539
301,3.260927258878079,9.0,1.0018812499716374,0.032412294301970346
302,3.26092725887808,9.0,1.001905912606893,0.030726169439392617
303,3.2609272588780787,9.0,1.0019306678385447,0.027087402523516477
304,3.2609272588780795,9.0,1.0019554947486022,0.02610656394417561
305,3.2609272588780787,9.0,1.001980410142711,0.023046155816360034
306,3.2609272588780795,9.0,1.0020053957831547,0.023857284014141413
307,3.260927258878079,9.0,1.002030474366805,0.022712549572068558
308,3.260927258878079,9.0,1.0020556330200387,0.024840890783387574
309,3.2609272588780787,9.0,1.0020808934921372,0.023058222094082773
310,3.2609272588780795,9.0,1.0021062308068298,0.022742393743181922
311,3.260927258878079,9.0,1.002131651842666,0.022845930223624102
312,3.2609272588780795,9.0,1.0021571586849325,0.026352666264353092
313,3.260927258878079,9.0,1.0021827782497714,0.031466384722496694
314,3.260927258878079,9.0,1.0022085389164335,0.033101125740231226
315,3.260927258878079,9.0,1.0022344221015933,0.030134510690593877
316,3.260927258878079,9.0,1.0022603838816653,0.03135221671809216
317,3.2609272588780787,9.0,1.0022864595637289,0.02967251132662444
318,3.260927258878079,9.0,1.0023126231049178,0.029311485329519316
319,3.2609272588780787,9.0,1.0023388834362186,0.03309575358679281
320,3.2609272588780787,9.0,1.0023652812877912,0.03428827914559387
321,3.260927258878079,9.0,1.0023918003570584,0.037817196924162834
322,3.260927258878079,9.0,1.0024184718547158,0.038111803423276275
323,3.260927258878079,9.0,1.0024452662038816,0.04029726545711706
324,3.260927258878079,9.0,1.0024722084026865,0.0391349682875276
325,3.2609272588780787,9.0,1.0024992602989438,0.03552959676968313
326,3.2609272588780787,9.0,1.0025263899600851,0.034871901839094874
327,3.260927258878079,9.0,1.0025536249566298,0.04023103458395592
