t,kappa,b0,b1,bmag,ang_err
0.0,1.031447584680146,0.0007223943152421781,0.0006957549346691947,0.001002959857527085,0.766615762391381
0.01,1.071070570411523,0.0007193949386083661,0.00069284787087173,0.0009987828842480354,0.7666025700672408
0.02,1.6562580636988402,0.0007164131213217314,0.0006899579735689715,0.0009946304669038383,0.7665894520146361
0.03,1.6807196414735108,0.0007134906135756035,0.0006871238822396869,0.0009905594809018943,0.7665752700041577
0.04,1.4280684573546594,0.0007105850445283102,0.0006843063717963678,0.0009865121975872419,0.7665611670722856
0.05,1.024322594609415,0.0007076725013946123,0.0006814832994860773,0.0009824560329645994,0.7665477941112875
0.06,1.4400078193834378,0.0007047475684427366,0.0006786496433826098,0.0009783836025247425,0.7665353021135202
0.07,1.7324673948754874,0.0007018653464135853,0.0006758564046065751,0.0009743699729281422,0.7665221801335829
0.08,0.9961112082013427,0.0006990227881800696,0.000673100757955975,0.0009704109896100448,0.7665085035967931
0.09,0.457494105492086,0.0006961401901422389,0.0006703089080886745,0.0009663980528717468,0.7664964672194583
0.1,0.0,0.0006932511175483178,0.0006675119200661727,0.0009623768884446572,0.7664851508378012
0.11,0.6339695123038614,0.0006903711135231447,0.0006647241765025845,0.0009583686687356937,0.7664741249313547
0.12,1.3822791395944165,0.0006875164668383562,0.0006619607523090387,0.0009543955834827847,0.7664629343914027
0.13,1.4358624664449686,0.0006847163584171036,0.0006592486618349386,0.0009504973906408879,0.7664507589218665
0.14,0.9479184261828466,0.0006819342968714154,0.0006565541126312589,0.0009466243648155964,0.7664386095501206
0.15,1.093644235516187,0.0006791355336536371,0.0006538449216772331,0.0009427291523412849,0.7664274591561115
0.16,1.9271735754330708,0.0006763586883079041,0.0006511568427535803,0.0009388643720550905,0.766416224555508
0.17,1.8342984885727245,0.0006736615974242892,0.0006485434309240511,0.0009351088330451084,0.7664032685358761
0.18,2.0967352529487826,0.0006709687732099802,0.0006459347773464472,0.0009313596680168786,0.7663907114145712
0.19,1.5419550385907264,0.0006683160417716515,0.0006433640547578646,0.0009276656933636214,0.7663775363950487
0.2,0.7325517711603158,0.0006656242641439375,0.0006407579642318778,0.0009239190601690922,0.7663659866643631
0.21,0.7634801721404108,0.0006628985580667468,0.000638121234824917,0.0009201267350867754,0.7663559255345271
0.22,0.727723205255378,0.0006601877573391785,0.0006354990869168342,0.0009163552610274379,0.7663459647559829
0.23,0.8169331596581999,0.0006574892295355197,0.0006328890764281736,0.0009126010464695501,0.7663361771903539
0.24,0.0,0.0006548077682294994,0.0006302956376408974,0.0009088706201450475,0.7663264229743243
0.25,0.5294735549809365,0.0006521228866972556,0.0006276997876181502,0.0009051360575793192,0.7663172895295318
0.26,0.9792426709584225,0.000649458590595703,0.0006251237568494431,0.0009014300706522491,0.7663080845181156
0.27,1.884816902668533,0.0006468247058578273,0.0006225766432182428,0.0008977660479150233,0.7662985192619254
0.28,1.961385854354424,0.0006442687889432835,0.0006201025014642656,0.0008942088037637992,0.7662872064206727
0.29,2.49738269936955,0.0006417327779901752,0.0006176475398253318,0.0008906792025186578,0.7662758204077411
0.3,0.7586592274732684,0.0006392684452235503,0.0006152597216366366,0.0008872478064931616,0.7662628471868085
0.31,0.6078773052947225,0.0006366762566114959,0.0006127541684542127,0.0008836426464871651,0.7662541077020157
0.32,0.5173256923225349,0.0006340919611200585,0.0006102566431012295,0.0008800487404719487,0.7662456498231611
0.33,0.0,0.0006315180985595659,0.0006077694929977786,0.0008764695462062937,0.7662373976977768
0.34,0.0,0.0006289505838954976,0.0006052889269734982,0.0008728994914073534,0.7662294699855696
0.35000000000000003,0.0,0.0006263959254110376,0.0006028209701602359,0.0008693474434519711,0.7662216735001559
0.36,0.0,0.000623854050296883,0.0006003655497638466,0.0008658132993983585,0.7662140080743303
0.37,0.7386811728510517,0.0006213248861834089,0.0005979225934372555,0.000862296956931636,0.7662064735381371
0.38,0.22982266386509131,0.0006188214531909692,0.0005955041634128805,0.0008588161616850591,0.7661986799026761
0.39,0.0,0.0006163187043202746,0.0005930870407324148,0.0008553367659464633,0.7661913695772626
0.4,0.0,0.0006138271848909512,0.0005906809933834355,0.0008518731412925239,0.7661842273524426
0.41000000000000003,0.0,0.0006113480916076261,0.0005882871253922798,0.000848426915541108,0.7661772153123323
0.42,0.0,0.0006088813542568817,0.0005859053666039465,0.0008449979894514537,0.7661703332733714
0.43,0.15430927143661102,0.000606426903048841,0.0005835356472939057,0.0008415862643865606,0.7661635810493133
0.44,0.0,0.0006039852260988658,0.0005811784150031057,0.0008381924023821858,0.7661569416051064
0.45,0.7265503590055384,0.0006015551372171291,0.0005788325651041121,0.0008348147827735953,0.7661504484693018
0.46,1.0165607349789365,0.0005991493860078098,0.0005765099137777623,0.0008314707856789548,0.7661437123628696
0.47000000000000003,1.6995881822862229,0.0005967672381247072,0.0005742097769162848,0.0008281594076053478,0.7661367507236716
0.48,2.751269980295456,0.0005944395732999639,0.00057196078516176,0.0008249227515761098,0.7661286169967916
0.49,2.6915571087644814,0.0005922306356377611,0.0005698225144236558,0.0008218484189508452,0.7661173375569228
0.5,2.84336361583494,0.0005900247333240256,0.0005676876856576016,0.0008187786601892916,0.7661064324241766
0.51,2.9090918489219946,0.0005878484227055473,0.0005655809217659827,0.0008157496841207224,0.7660950866300285
0.52,2.283968024059509,0.000585690951258394,0.0005634922481277024,0.0008127468265616142,0.7660836253368979
0.53,2.032789373637306,0.0005834702492476294,0.0005613455422753555,0.0008096581683584151,0.7660745715408961
