t,v0,T,coherence
0.3,6.0,0.0005965422101802243,0.17374215561860637
0.306,6.0,0.0008825924104282443,0.17258145645195164
0.312,6.0,0.0012768127282449342,0.17080477617109974
0.318,6.0,0.001808040801389547,0.16869150235324099
0.324,6.0,0.0025089307363306422,0.16639338783292265
0.33,6.0,0.003415531632287582,0.16370835264807132
0.336,6.0,0.00456668040035178,0.16084090354286198
0.342,6.0,0.0060032363666355434,0.15796790971230884
0.34800000000000003,6.0,0.007767195207614499,0.15508312886333045
0.354,6.0,0.00990072568325044,0.15221006300724307
0.36,6.0,0.012445174880883576,0.1493365670438552
0.366,6.0,0.0154400864604713,0.14641182683547135
0.372,6.0,0.018922272149620063,0.1434606034878524
0.378,6.0,0.02292497216794261,0.14057504796274106
0.384,6.0,0.027477132078105024,0.13771768772474627
0.39,6.0,0.032602814340042946,0.13487135773581466
0.396,6.0,0.03832075725223492,0.132108749112107
0.402,6.0,0.04464409067346228,0.12937389573358102
0.40800000000000003,6.0,0.05158020341745703,0.12665184651677913
0.41400000000000003,6.0,0.05913074650152097,0.12394227100908352
0.42,6.0,0.0672917669489478,0.12128099481121425
0.426,6.0,0.07605394017538825,0.11871395470873289
0.432,6.0,0.08540287933960593,0.11619221548218577
0.438,6.0,0.09531952482782269,0.1136720873524769
0.444,6.0,0.10578057464900725,0.11120218036046527
0.45,6.0,0.1167589772311349,0.10876369505789836
0.456,6.0,0.1282244424387596,0.10632599088704217
0.462,6.0,0.14014396866937553,0.1039303311318082
0.468,6.0,0.1524823538379452,0.10163361377968773
0.47400000000000003,6.0,0.16520268323660986,0.09948339945974788
0.48,6.0,0.17826678879807806,0.09741828742205487
0.486,6.0,0.19163569769861905,0.09543117704368911
0.492,6.0,0.20527006197006953,0.09353459295516654
0.498,6.0,0.21913059499487125,0.09168717801754588
0.504,6.0,0.23317846950164373,0.08979798224099692
0.51,6.0,0.24737570041970558,0.08784761102715845
0.516,6.0,0.2616854428591751,0.08585043736468399
0.522,6.0,0.27607224979358913,0.08382320491101229
0.528,6.0,0.2905022438637566,0.08181213068145789
0.534,6.0,0.3049432385462093,0.07990481879406956
0.54,6.0,0.3193648320849425,0.07818589152579464
0.546,6.0,0.3337384431442618,0.07671304518534117
0.552,6.0,0.3480373487974458,0.07550834019401086
0.558,6.0,0.3622366762731058,0.07455437015760445
0.5640000000000001,6.0,0.376313345549407,0.07378855966544108
0.5700000000000001,6.0,0.3902460043366348,0.07311255661596862
0.5760000000000001,6.0,0.40401491830915925,0.07241090569407105
0.582,6.0,0.41760185803203803,0.07157237656952734
0.588,6.0,0.4309900331648315,0.07050874251853811
0.594,6.0,0.4441640324728563,0.06916779487601653
0.6,6.0,0.45710977427016347,0.06754062780555951
0.606,6.0,0.46981448521481495,0.06566414326433678
0.612,6.0,0.4822666622839503,0.06361912858127876
0.618,6.0,0.4944559855439641,0.06152376011389971
0.624,6.0,0.506373201802383,0.05952198320178967
0.63,6.0,0.518009979707648,0.05776625225855191
0.636,6.0,0.5293587299050279,0.05639515497013912
0.642,6.0,0.5404124260354253,0.055508978986956836
0.648,6.0,0.5511644195518022,0.0551492037770645
0.654,6.0,0.5616082595339723,0.05528901456993613
0.66,6.0,0.5717376470777296,0.05583865546417528
0.666,6.0,0.5815466633061729,0.0566632293625911
0.672,6.0,0.5910301782491845,0.05760583989187247
0.678,6.0,0.6001841490065651,0.05850892616159112
0.684,6.0,0.6090056572608492,0.05922994827007481
0.6900000000000001,6.0,0.6174928860520087,0.05965087726332224
0.6960000000000001,6.0,0.6256453062968879,0.059682686398945806
0.7020000000000001,6.0,0.633463953939258,0.059266469168378445
0.708,6.0,0.6409512906230493,0.058372656590317845
0.714,6.0,0.6481103798000458,0.056999593977996574
0.72,6.0,0.6549438752789978,0.05517236532598607
0.726,6.0,0.6614537589728549,0.05294222684540969
0.732,6.0,0.667642252272387,0.05038657201553164
0.738,6.0,0.6735130694470157,0.04760914761613821
0.744,6.0,0.6790715375278168,0.044740261952045356
0.75,6.0,0.6843229699036566,0.041936612101747775
0.756,6.0,0.6892704025286092,0.03937920770706737
0.762,6.0,0.6939138615002904,0.03726535702458345
0.768,6.0,0.6982523245560774,0.03578837150394701
0.774,6.0,0.702287200277939,0.03510153013782648
0.78,6.0,0.7060243451064232,0.03527575498095156
0.786,6.0,0.7094723447011779,0.03627530166400009
0.792,6.0,0.7126377115229396,0.03797068639824201
0.798,6.0,0.7155205877612687,0.04018066057591935
0.804,6.0,0.7181149111482731,0.04271652940296547
0.81,6.0,0.7204141562767493,0.04540965249015942
0.8160000000000001,6.0,0.7224194889202402,0.048119984011883
0.8220000000000001,6.0,0.724144719506116,0.05073294565766175
0.8280000000000001,6.0,0.7256137683320583,0.05315297592803214
0.834,6.0,0.7268510461434281,0.05529921035761089
0.84,6.0,0.7278700867102051,0.05710507685537165
0.846,6.0,0.7286676650594472,0.05852056427122866
0.852,6.0,0.7292278557375124,0.059514423308234934
0.858,6.0,0.729534635905187,0.060073788635754195
0.864,6.0,0.7295861443563751,0.06020017434393585
0.87,6.0,0.7294021025386462,0.05990271800939671
0.876,6.0,0.7290192306278275,0.05919107715470851
0.882,6.0,0.7284760107967858,0.058070876958925474
0.888,6.0,0.7277942690977368,0.05654372265548416
0.894,6.0,0.7269673117146283,0.054611841388124596
0.9,6.0,0.7259616215964725,0.052285391357730686
0.906,6.0,0.7247326317332304,0.04958929754545477
0.912,6.0,0.723248110776262,0.046566803962153604
0.918,6.0,0.7215086047274641,0.043278272354885634
0.924,6.0,0.7195550069283883,0.039795452734528676
0.93,6.0,0.7174585742004005,0.03619286912183303
0.936,6.0,0.715296239726124,0.032539181454743576
0.9420000000000001,6.0,0.7131206346805786,0.028892726716664128
0.9480000000000001,6.0,0.7109371782555131,0.025307085154050942
0.9540000000000001,6.0,0.7086983116148442,0.02185394910007557
0.96,6.0,0.7063185016438123,0.018671595275372013
0.966,6.0,0.7037053730138307,0.01604220859728495
0.972,6.0,0.7007957011733372,0.01445263542223592
0.978,6.0,0.6975827139663582,0.014441052973339199
0.984,6.0,0.6941242032772631,0.016130874454485754
0.99,6.0,0.6905280232656836,0.019093369370129742
0.996,6.0,0.6869197975284205,0.02276298423969761
1.002,6.0,0.6834039362002119,0.026712892509796263
1.008,6.0,0.6800309637496917,0.030672335904433023
1.014,6.0,0.6767814762013475,0.03448576784478633
1.02,6.0,0.6735711814385178,0.038082594625220276
1.026,6.0,0.6702747314333293,0.04145749010155468
1.032,6.0,0.6667608675786778,0.04465341681519732
1.038,6.0,0.6629289963003298,0.04774235760041919
1.044,6.0,0.6587378489149482,0.050801850803996844
1.05,6.0,0.6542195573494508,0.05388888787107214
1.056,6.0,0.6494761553524484,0.05701667523380822
1.062,6.0,0.6446593301839233,0.060142013078768666
1.068,6.0,0.6399376234363117,0.06316897406330282
1.074,6.0,0.6354578064898148,0.06596827663698586
1.08,6.0,0.6313087597510054,0.06840552626653729
1.086,6.0,0.6274963060108436,0.07036967821162288
1.092,6.0,0.623935734577412,0.07179470297915519
1.098,6.0,0.620465370902785,0.0726704270696713
1.104,6.0,0.6168797378990679,0.07304183594878792
1.11,6.0,0.6129757084931882,0.07299886846315486
1.116,6.0,0.6086010917844207,0.07266014056424427
1.122,6.0,0.6036936856378522,0.07215419686503036
1.1280000000000001,6.0,0.5983005677008015,0.07160125909883118
1.1340000000000001,6.0,0.5925720819811581,0.07109775830805717
1.1400000000000001,6.0,0.5867313160581509,0.07070591273211319
1.1460000000000001,6.0,0.5810262801515989,0.07044964355854108
1.1520000000000001,6.0,0.5756765218655273,0.07031356878049352
1.158,6.0,0.5708272379536218,0.07024073655596656
1.164,6.0,0.566521505941855,0.07013268943451066
1.17,6.0,0.5626961250341326,0.06985947531913078
1.176,6.0,0.5592004444666714,0.06927931168051647
1.182,6.0,0.5558320654465212,0.0682614093877965
1.188,6.0,0.5523797905992269,0.06670528131343703
1.194,6.0,0.5486633302443034,0.06455388374063081
1.2,6.0,0.5445613846165211,0.06180166112932941
1.206,6.0,0.540023847593634,0.058499267747903316
1.212,6.0,0.5350687691252718,0.0547554025032594
1.218,6.0,0.529768426538924,0.05073000791475946
1.224,6.0,0.5242304847906598,0.04661367007235362
1.23,6.0,0.5185797299476103,0.04259620420867086
1.236,6.0,0.5129441284766204,0.03883471087835311
1.242,6.0,0.5074465903999217,0.035445980615585855
1.248,6.0,0.5022013707461421,0.03251023195589565
1.254,6.0,0.4973120574281004,0.03004701400052069
1.26,6.0,0.4928675313118628,0.028012435724874905
1.266,6.0,0.48893349377615447,0.02631972581250762
1.272,6.0,0.4855398547342884,0.02486395656359017
1.278,6.0,0.48266699683902414,0.02354723135800458
1.284,6.0,0.48023547541797873,0.02230163548256136
1.29,6.0,0.47810337297889016,0.021111238864839326
1.296,6.0,0.4760739058826575,0.020025458171914732
1.302,6.0,0.4739139627034583,0.019162872728737523
1.308,6.0,0.47138242740157105,0.01871814396998804
1.314,6.0,0.46826531440525737,0.018940189182053417
1.32,6.0,0.4644125372038448,0.020053444113457355
1.326,6.0,0.45976925082101555,0.022152171351619794
1.332,6.0,0.45439437068908706,0.025156792997608365
1.338,6.0,0.44846113035861984,0.028865567615702654
1.344,6.0,0.44223867781444587,0.03302542676330066
1.35,6.0,0.43605794302940193,0.037345092170373684
1.356,6.0,0.4302677367257599,0.04151597676204968
1.362,6.0,0.4251877086268864,0.0453073075402449
1.368,6.0,0.4210644339007179,0.04840362180306666
1.374,6.0,0.4180364395737362,0.05065626805783312
1.3800000000000001,6.0,0.41611344520014415,0.05199793891913107
1.3860000000000001,6.0,0.41517396932395223,0.052434353621733445
1.3920000000000001,6.0,0.41498279931140614,0.052119623390623024
1.3980000000000001,6.0,0.4152259882189103,0.05125058209268212
