t,norm,width_fwhm,peak_a2,chi
0,5.591608045045411,15.0,1.9599993113998169,0.2
1,5.591608045045412,15.0,1.9600498018900803,0.19999974239536733
2,5.591608045045411,15.0,1.960102089153664,0.19999921801956336
3,5.591608045045411,15.0,1.9601561736045914,0.19999841770504007
4,5.591608045045411,15.0,1.9602120556672327,0.1999973322833103
5,5.591608045045411,15.0,1.9602697357762386,0.19999595258502278
6,5.59160804504541,15.0,1.9603292143764572,0.1999942694400418
7,5.59160804504541,15.0,1.960390491922864,0.1999922736775313
8,5.591608045045411,15.0,1.9604535688804912,0.19998995612604376
9,5.591608045045411,15.0,1.9605184457243383,0.19998730761361364
10,5.591608045045412,15.0,1.9605851229393152,0.19998431896785565
11,5.591608045045411,15.0,1.960653601020156,0.19998098101606734
12,5.591608045045411,15.0,1.9607238804713534,0.19997728458533656
13,5.591608045045411,15.0,1.9607959618070772,0.19997322050265345
14,5.591608045045411,15.0,1.9608698455511013,0.19996877959502718
15,5.591608045045411,15.0,1.9609455322367375,0.1999639526896072
16,5.591608045045412,15.0,1.9610230224067529,0.1999587306138093
17,5.591608045045412,15.0,1.9611023166133,0.19995310419544615
18,5.59160804504541,15.0,1.9611834154178442,0.19994706426286257
19,5.591608045045411,15.0,1.9612663193910933,0.1999406016450754
20,5.591608045045411,15.0,1.9613510291129153,0.19993370717191822
21,5.59160804504541,15.0,1.9614375451722745,0.19992637167419036
22,5.591608045045411,15.0,1.9615258681671577,0.19991858598381093
23,5.591608045045411,15.0,1.9616159987044937,0.19991034093397725
24,5.591608045045412,15.0,1.9617079374000919,0.1999016273593281
25,5.591608045045411,15.0,1.961801684878561,0.19989243609611146
26,5.591608045045413,15.0,1.9618972417732412,0.19988275798235708
27,5.591608045045411,15.0,1.9619946087261313,0.1998725838580536
28,5.591608045045411,15.0,1.962093786387816,0.19986190456533032
29,5.59160804504541,15.0,1.9621947754173956,0.19985071094864368
30,5.59160804504541,15.0,1.9622975764824127,0.19983899385496834
31,5.591608045045412,15.0,1.9624021902587807,0.19982674413399298
32,5.59160804504541,15.0,1.962508617430711,0.1998139526383207
33,5.591608045045411,15.0,1.9626168586906483,0.19980061022367399
34,5.59160804504541,15.0,1.9627269147391877,0.19978670774910462
35,5.591608045045413,15.0,1.9628387862850143,0.19977223607720784
36,5.591608045045411,15.0,1.9629524740448276,0.19975718607434145
37,5.59160804504541,15.0,1.9630679787432694,0.19974154861084947
38,5.59160804504541,15.0,1.963185301112856,0.1997253145612904
39,5.59160804504541,15.0,1.9633044418939067,0.1997084748046701
40,5.59160804504541,15.0,1.963425401834471,0.1996910202246795
41,5.591608045045411,15.0,1.9635481816902625,0.1996729417099366
42,5.59160804504541,15.0,1.9636727822245827,0.19965423015423348
43,5.59160804504541,15.0,1.9637992042082568,0.19963487645678762
44,5.591608045045411,15.0,1.9639274484195604,0.1996148715224981
45,5.591608045045411,15.0,1.9640575156441518,0.1995942062622061
46,5.591608045045411,15.0,1.9641894066749963,0.19957287159296033
47,5.591608045045411,15.0,1.9643231223123057,0.199550858438287
48,5.591608045045411,15.0,1.9644586633634618,0.19952815772846408
49,5.591608045045411,15.0,1.964596030642948,0.19950476040080067
50,5.59160804504541,15.0,1.9647352249722838,0.19948065739992055
51,5.591608045045412,15.0,1.9648762471799504,0.19945583967805045
52,5.591608045045412,15.0,1.9650190981013262,0.1994302981953129
53,5.59160804504541,15.0,1.965163778578612,0.1994040239200237
54,5.591608045045411,15.0,1.9653102894607708,0.19937700782899384
55,5.59160804504541,15.0,1.9654586316034512,0.199349240907836
56,5.59160804504541,15.0,1.9656088058689236,0.19932071415127572
57,5.59160804504541,15.0,1.9657608131260065,0.19929141856346688
58,5.591608045045411,15.0,1.9659146542500063,0.19926134515831193
59,5.591608045045411,15.0,1.9660703301226399,0.19923048495978649
60,5.59160804504541,15.0,1.9662278416319723,0.1991988290022685
61,5.59160804504541,15.0,1.9663871896723488,0.19916636833087192
62,5.591608045045411,15.0,1.9665483751443265,0.1991330940017848
63,5.591608045045411,15.0,1.9667113989546035,0.1990989970826119
64,5.591608045045412,15.0,1.9668762620159534,0.19906406865272175
65,5.591608045045411,15.0,1.9670429652471582,0.19902829980359824
66,5.591608045045411,15.0,1.9672115095729437,0.19899168163919645
67,5.591608045045411,15.0,1.9673818959239073,0.19895420527630314
68,5.59160804504541,15.0,1.9675541252364506,0.19891586184490154
69,5.591608045045411,15.0,1.9677281984527186,0.19887664248854034
70,5.591608045045411,15.0,1.9679041165205282,0.1988365383647075
71,5.591608045045411,15.0,1.9680818803932993,0.19879554064520805
