step,eta,mse,coherence,S,r_norm
0,0.5793567409964981,1.5622555158982076e-08,0.10388870050793311,3.2839459253402414,0.1608326796913483
1,0.3872582608976869,1.3041110943114083e-08,0.10183434649283418,3.290341404236954,0.16115911480914932
2,0.3491080986625095,1.7386887276616492e-08,0.10699692757448505,3.2852297065272893,0.1623964218451399
3,0.3053155057288107,1.613957750883311e-08,0.10965592625026283,3.2857862292228606,0.1654178056848123
4,0.26767650685161,1.5830776776898165e-08,0.10870176788716834,3.2816348417531422,0.16449227606000547
5,0.22418032953455364,1.491652707347233e-08,0.11207287968296478,3.2755910499575474,0.16784973805890446
6,0.18055529687002586,1.7702206236602204e-08,0.11144137030381177,3.2848273071751706,0.16518637246428314
7,0.1853983487788626,1.6201561274397413e-08,0.10937282329192216,3.293189594371309,0.16695848900720567
8,0.21697553506624037,1.365855814071087e-08,0.10837927223138286,3.2811256366453936,0.1682758690333887
9,0.23501877205636162,9.893523855870081e-09,0.1086768545134289,3.2790051045638604,0.1623603299840643
10,0.2227122853117357,9.616010608383292e-09,0.11126596757757212,3.301320638340498,0.14880584520574316
11,0.20643269337055173,9.350625635426556e-09,0.10996329595734661,3.298755094602462,0.13975118171858153
12,0.19071722354942358,9.471020856516711e-09,0.10942712301178001,3.2905742683580144,0.13425610139909142
13,0.2007190711976875,9.266352338528657e-09,0.11147437046643288,3.2994103531370502,0.13362588829003386
14,0.19603701600623463,9.166407854501902e-09,0.11097469737508853,3.3005633433655084,0.13314714148389162
15,0.18730703020935563,9.064153613838214e-09,0.1193785444157666,3.2809721820639695,0.12967945840633213
16,0.17729488454676834,9.161865105302861e-09,0.11839284557819418,3.2947225409880723,0.12884355032945652
17,0.17475742034078046,8.816247548945258e-09,0.12351874274901026,3.2982842144802933,0.1260678448546488
18,0.17421362443853644,8.505492687469169e-09,0.12412957713747953,3.298411362158162,0.12598595186624942
19,0.17663032924937644,8.435427836911955e-09,0.12312807376466675,3.3012098100116587,0.12578220542097646
20,0.17353657279921922,9.109915408780906e-09,0.11895089702302727,3.306496711435605,0.12533589012717333
21,0.16909428281126238,8.92835522557739e-09,0.11853531293573892,3.297197342754369,0.12472656804924401
22,0.1568388307418486,9.575711294262108e-09,0.11352545771234632,3.30203580193386,0.12497547720156285
23,0.1578631900469514,9.473743476574121e-09,0.11594481216268528,3.3052378817536927,0.12632664273413965
24,0.14854505217468902,9.517824684438772e-09,0.11484557165121466,3.297919068084827,0.12606437719491526
25,0.1484683538796449,1.0230579576201914e-08,0.11664313234501675,3.301840028867278,0.12644098719923136
26,0.1452368967573919,1.0189782422564131e-08,0.11693512294476727,3.302778744678059,0.1264013394765361
27,0.14041988823963847,1.0031510145514297e-08,0.11600295250812925,3.2962409925823923,0.12717310576291518
28,0.13666865239202694,1.0557620063629944e-08,0.11671777833761904,3.2932629514988556,0.12815332944794872
29,0.13688324533270663,9.192768769232581e-09,0.11377736671618147,3.3005252994154985,0.12674645307442636
30,0.14544064741016863,8.914708801441852e-09,0.11699204088560904,3.3021267762895192,0.12798314071287337
31,0.13640907267951524,9.748849792173566e-09,0.1153218618276397,3.3065212802828694,0.12748937167254706
32,0.1290794406416278,9.369027595591344e-09,0.11493255999881472,3.2926924139573597,0.12677329543481825
33,0.13002322536477037,9.477130229013318e-09,0.11742026919022275,3.2948201927561884,0.1270450680726676
34,0.13117686445418575,9.851585118259823e-09,0.1176066275111298,3.311123682176424,0.12808982536409985
35,0.1328778120701884,9.82473005796665e-09,0.11914189268322958,3.3103520916417732,0.1274383457873665
36,0.12893180527245057,1.019661348941431e-08,0.12342431248398761,3.3045901693612585,0.1276891427102628
37,0.12575322254165378,1.016381964413443e-08,0.12464003534008143,3.31698420784562,0.12705214979769797
38,0.12239402648846866,1.0687079825392457e-08,0.1261377286194611,3.317996804725779,0.1270807246121987
39,0.11299967848874028,1.1470938890054597e-08,0.12676624778462348,3.3203610128874645,0.12549366147778926
40,0.1094669006476609,1.1845179959506252e-08,0.12671447006876652,3.332967982989915,0.12657624750624696
41,0.10482532847558293,1.2005044858603556e-08,0.12723123878611187,3.330918793395597,0.1255966144044756
42,0.10080102038873767,1.1970230616923493e-08,0.12838122836793794,3.328856846069666,0.1256769633935837
43,0.09493041212229417,1.2452929479778107e-08,0.12870553797157125,3.32445827449709,0.12525392170578728
44,0.08566840919558072,1.3714803037628599e-08,0.1295313103988594,3.3163276522306715,0.12490654298736314
45,0.0763724841525912,1.4507127501310674e-08,0.12890012275580362,3.3183436297248883,0.1250352519106288
46,0.06866742119056568,1.488015758454396e-08,0.13015121070970287,3.3190035279380465,0.12577630928849146
47,0.06702650240552861,1.4617037695726022e-08,0.12843240265780748,3.318375107494617,0.12505697576041994
48,0.06522012200165606,1.4937070824423172e-08,0.12806911175924623,3.316309347203352,0.12529367108564468
49,0.07145051718906421,1.3792264795443757e-08,0.1287784940439562,3.320483577602615,0.12536404172970642
50,0.0698744766474656,1.3556708480564503e-08,0.12864302918894555,3.3243741066424826,0.12545509593302095
51,0.06623451932765585,1.4806789042909409e-08,0.12935622002648045,3.328604770898939,0.12560229527944294
52,0.0631849202263555,1.512644912994049e-08,0.1312363932850955,3.3268889330366793,0.12578307744817407
53,0.058073433614051914,1.5865117608756664e-08,0.13123447045539832,3.3264718228883776,0.12600533820793824
54,0.0533840048689696,1.5705091539759768e-08,0.12944050953659952,3.333450010937819,0.1257830120468477
55,0.05093508088452015,1.637054487732084e-08,0.12949107758848688,3.3240307744278352,0.12496272423499154
56,0.0441779644255354,1.6923243916609117e-08,0.12844520758331152,3.319228961115429,0.12502651170727863
57,0.040700973893945086,1.688812140289833e-08,0.12938073399958336,3.321728052967187,0.1253376867489757
58,0.041400491329984475,1.6609017773865085e-08,0.1291411800903588,3.3192583305209533,0.12467349001743139
59,0.04043918678755854,1.6779849543828825e-08,0.1269517179473965,3.3170939888487805,0.12570139745591302
