t,v0,T,coherence
0.0,5.3919999999999995,2.7951538651908934e-17,0.31664058287989166
0.006,4.782479049405877,2.706404740148142e-17,0.27619161118320856
0.012,4.171437148217635,2.3726360005535312e-17,0.22847889089851692
0.018000000000000002,3.558874296435271,2.883718345565059e-17,0.16085336896659083
0.024,2.9447904940587857,5.981110901646005e-17,0.12357114564988658
0.03,2.329185741088179,1.8165673769498171e-16,0.030676296075319485
0.036000000000000004,1.7120600375234514,2.2807345458211217e-16,0.07980370108623915
0.042,1.0934133833646025,3.8814858158387746e-16,0.06521461593212864
0.048,0.47324577861163264,5.798963867341077e-16,0.04652023003573357
0.054,0.0,9.02541102719364e-16,0.07481785969066332
0.06,0.0,1.492406622558984e-15,0.10939124231715526
0.066,0.0,2.4062460809047106e-15,0.13090869191059937
0.07200000000000001,0.0,3.676837740150509e-15,0.14370426226745922
0.078,0.0,5.39639229885574e-15,0.15245168034258422
0.084,0.0,7.685842122149213e-15,0.16046884089841024
0.09,0.0,1.0581775932402577e-14,0.1675957842108187
0.096,0.0,1.396409025676616e-14,0.17558892259556885
0.10200000000000001,0.0,1.766261630532766e-14,0.18277021652925177
0.108,0.0,2.1426219279125588e-14,0.18798077506450175
0.114,0.0,2.5120719594393365e-14,0.1911322744359661
0.12,0.0,2.8613005368866146e-14,0.18873940415080653
0.126,0.0,3.2043262141861407e-14,0.181380607664273
0.132,0.0,3.562585229004505e-14,0.16803390350672845
0.138,0.0,3.9487638454685346e-14,0.15773072247306463
0.14400000000000002,0.0,4.4307450711715926e-14,0.15856574432784434
0.15,0.0,5.1295686896184157e-14,0.15589808244905304
0.156,0.0,6.851299916696493e-14,0.15058384756187285
0.162,0.0,1.4405097816390287e-13,0.10982842697252282
0.168,0.0,5.942213961262773e-13,0.11066439509156131
0.17400000000000002,0.0,3.3293972023791866e-12,0.21987193780874295
0.18,0.0,1.7718344791056522e-11,0.31193781979882645
0.186,0.0,8.532314968300918e-11,0.3559099770184838
0.192,0.0,3.7068924716795326e-10,0.3641117457277718
0.198,0.0,1.4517628471478172e-09,0.3547935185315948
0.20400000000000001,0.0,5.1590156101465755e-09,0.34072976803464805
0.21,0.0,1.6774342333492493e-08,0.32774619078741885
0.216,0.0,5.025566414685033e-08,0.3171328970770862
0.222,0.0,1.3957234367168455e-07,0.30822574016111076
0.228,0.0,3.613272778104955e-07,0.3000262315158373
0.234,0.0,8.765338532353447e-07,0.2918758357565143
0.24,0.0,2.0023255522757535e-06,0.28353398356035353
0.246,0.0,4.32679307456666e-06,0.27504594455359893
0.252,0.0,8.88112159434372e-06,0.26658545866623257
0.258,0.0,1.7381787380667792e-05,0.2583292177383139
0.264,0.0,3.255113665083137e-05,0.2504034839176014
0.27,0.0,5.851697913084961e-05,0.24286537577096629
0.276,0.0,0.00010128165255048462,0.23571697200166622
0.28200000000000003,0.0,0.0001692391517337218,0.22892373655169043
0.28800000000000003,0.0,0.0002737079148828285,0.2224372328119069
0.294,0.0,0.00042943746148858364,0.21620840412699807
0.3,0.0,0.0006550424028170548,0.21019795945998362
0.306,0.0,0.0009733171851002562,0.2043787203639581
0.312,0.0,0.0014113900708570438,0.19873497276766486
0.318,0.0,0.0020006849904922394,0.19326038729026238
0.324,0.0,0.0027766736043155706,0.18795428927958563
0.33,0.0,0.003778415090966582,0.18281888858264006
0.336,0.0,0.005047897031294349,0.17785690060102574
0.342,0.0,0.00662920467097136,0.1730697426206368
0.34800000000000003,0.0,0.008567557122601502,0.16845666195846912
0.354,0.0,0.01090825663861349,0.16401468121464455
0.36,0.0,0.013695600742548822,0.15973894949392992
0.366,0.0,0.016971806673123025,0.15562312711117035
0.372,0.0,0.020775993834677594,0.15165954500925802
0.378,0.0,0.025143264559518177,0.1478391246918197
0.384,0.0,0.030103915108141994,0.14415168601484746
0.39,0.0,0.03568279776996136,0.1405872043431041
0.396,0.0,0.04189884704868438,0.13713778919632594
0.402,0.0,0.04876477859256203,0.13379875834935648
0.40800000000000003,0.0,0.056286956290243585,0.13056775462492823
0.41400000000000003,0.0,0.06446541146184928,0.12744290784771298
