t,kappa,b0,b1,bmag,ang_err
0.0,0.6,0.0007223943152421781,0.0006957549346691947,0.001002959857527085,0.766615762391381
0.01,0.6,0.0007193752939137823,0.0006928296877850782,0.0009987561212678046,0.7666031013382022
0.02,0.6,0.0007163716803769677,0.0006899196148277645,0.0009945740089959175,0.7665905759197904
0.03,0.6,0.0007133833864575747,0.0006870246272990998,0.0009904133958045722,0.7665781860697471
0.04,0.6,0.0007104103245162598,0.0006841446372462814,0.0009862741575505987,0.7665659317186453
0.05,0.6,0.0007074524074451632,0.0006812795572584232,0.0009821561708497231,0.7665538127940317
0.06,0.6,0.0007045095486645975,0.000678429300463145,0.0009780593130718131,0.7665418292204356
0.07,0.6,0.0007015816621197573,0.0006755937805231802,0.000973983462336155,0.7665299809193735
0.08,0.6,0.0006986686622774503,0.0006727729116330082,0.0009699284975067582,0.766518267809353
0.09,0.6,0.0006957704641228483,0.0006699666085155071,0.0009658942981876922,0.7665066898058828
0.1,0.6,0.0006928869831562592,0.0006671747864186268,0.0009618807447184513,0.7664952468214752
0.11,0.6,0.0006900181353899189,0.0006643973611120852,0.0009578877181693494,0.7664839387656541
0.12,0.6,0.0006871638373448049,0.0006616342488840832,0.0009539151003369442,0.7664727655449624
0.13,0.6,0.0006843240060474675,0.0006588853665380431,0.0009499627737394902,0.7664617270629668
0.14,0.6,0.0006814985590268841,0.0006561506313893657,0.0009460306216124204,0.766450823220266
0.15,0.6,0.0006786874143113309,0.0006534299612622092,0.0009421185279038579,0.766440053914498
0.16,0.6,0.0006758904904252756,0.000650723274486288,0.0009382263772701536,0.766429419040346
0.17,0.6,0.00067310770638629,0.0006480304898936923,0.0009343540550714546,0.7664189184895465
0.18,0.6,0.0006703389817019806,0.0006453515268157277,0.0009305014473672995,0.7664085521508972
0.19,0.6,0.0006675842363669405,0.0006426863050797751,0.0009266684409122417,0.7663983199102642
0.2,0.6,0.0006648433908597194,0.00064003474500617,0.0009228549231515009,0.7663882216505904
0.21,0.6,0.0006621163661398129,0.0006373967674051031,0.000919060782216642,0.7663782572519029
0.22,0.6,0.0006594030836446712,0.0006347722935735386,0.000915285906921281,0.7663684265913213
0.23,0.6,0.000656703465286726,0.0006321612452921535,0.0009115301867568185,0.7663587295430658
0.24,0.6,0.0006540174334504372,0.000629563544822296,0.0009077935118882004,0.7663491659784665
0.25,0.6,0.0006513449109893573,0.0006269791149029637,0.0009040757731497055,0.7663397357659716
0.26,0.6,0.0006486858212232147,0.0006244078787477998,0.0009003768620407588,0.7663304387711563
0.27,0.6,0.0006460400879350159,0.0006218497600421093,0.000896696670721773,0.7663212748567307
0.28,0.6,0.0006434076353681646,0.0006193046829398944,0.0008930350920100151,0.7663122438825507
0.29,0.6,0.0006407883882236009,0.000616772572060908,0.0008893920193754992,0.7663033457056265
0.3,0.6,0.0006381822716569573,0.0006142533524877265,0.0008857673469369063,0.7662945801801304
0.31,0.6,0.0006355892112757321,0.0006117469497628407,0.0008821609694575286,0.7662859471574093
0.32,0.6,0.000633009133136483,0.0006092532898857655,0.0008785727823412414,0.7662774464859923
0.33,0.6,0.0006304419637420352,0.0006067722993101681,0.0008750026816284976,0.766269078011601
0.34,0.6,0.0006278876300387103,0.0006043039049410143,0.000871450563992351,0.7662608415771595
0.35000000000000003,0.6,0.0006253460594135699,0.0006018480341317324,0.0008679163267345021,0.7662527370228043
0.36,0.6,0.0006228171796916788,0.0005994046146813961,0.0008643998677813699,0.7662447641858958
0.37,0.6,0.0006203009191333837,0.0005969735748319243,0.0008609010856801889,0.7662369229010269
